Connector Type,Тип на конектора
Provider Name,Име на доставчика
Name cannot contain special characters like {0},Името не може да съдържа специални символи като {0}
Enable Gradients,Активиране на градиентите
Default Sort Order,По подразбиране сортиране
Showing only Numeric fields from Report,Показани са само числови полета от Отчета
folder-open,папка-отворен
Is Table,Е таблица
Unable to open attached file. Did you export it as CSV?,Прикаченият файл не може да се отвори. Изнесете ли го като CSV?
No Copy,Няма копие
Default Value,Стойност по подразбиране
Append To is mandatory for incoming mails,Append To е задължително за входящи писма
Data Migration Mapping Detail,Подробности за картографиране на миграцията на данни
Unfollow,Не следвай
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.","Печатането на PDF чрез „Raw Print“ все още не се поддържа. Моля, премахнете картографирането на принтера в Настройки на принтера и опитайте отново."
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Моля, проверете вашия регистриран имейл адрес за инструкции как да продължите. Не затваряйте този прозорец, тъй като ще трябва да се върнете към него."
Insert Column Before {0},Вмъкване на колона преди {0}
GCalendar Settings,Настройки на GCalendar
HTML for header section. Optional,HTML за заглавна част. по избор
_report,_report
Code,код
Fraction Units,Фракционни единици
Export Customizations,Експортиране на персонализации
Force,сила
User Email,Имейл на потребителя
 Advanced Settings,Разширени настройки
Redirect To,Пренасочване към
Stopped,Спряна
Google API Credentials,Удостоверения на Google API
Subject,Предмет
Revert,обръщам
File backup is ready,Архивирането на файлове е готово
Add custom javascript to forms.,Добавяне на персонализиран javascript към формулярите.
Add custom forms.,Добавете персонализирани формуляри.
This report was generated on {0},Този отчет бе генериран на {0}
This document has been reverted,Този документ бе отменен
Mapping Type,Тип карта
Please select document type first.,"Моля, първо изберете типа на документа."
Make use of longer keyboard patterns,Използвайте по-дълги клавиатурни модели
Are you sure you want to delete the attachment?,Наистина ли искате да изтриете прикачения файл?
ap-southeast-2,ап-Югоизточна-2
Please verify your Email Address,"Моля, потвърдете имейл адреса си"
About Us Settings,Настройки за нас
Avoid sequences like abc or 6543 as they are easy to guess,"Избягвайте последователности като abc или 6543, както лесно се отгатват"
Insert Below,Вмъкнете по-долу
Error in Custom Script,Грешка в персонализиран скрипт
Please specify which date field must be checked,"Моля, посочете коя дата трябва да бъде проверена"
Feedback,Обратна връзка
"Invalid ""depends_on"" expression",Невалиден израз &quot;depend_on&quot;
Session Expired,Сесията изтече
Sent Read Receipt,Изпратено четене на получаването
Tools,Инструменти
Contacts,Контакти
Document Share Report,Документ за споделяне на документи
Filter List,Списък с филтри
Notification Tones,Тонове за уведомяване
You have used up all of the space allotted to you. Please buy more space in your subscription.,"Вие сте използвали цялото пространство, разпределено за вас. Моля, купувайте повече място в абонамента си."
"Expression, Optional","Израз, Незадължително"
Mandatory Information missing:,Липсва задължителна информация:
DocType is a Table / Form in the application.,DocType е таблица / форма в приложението.
Primary,първичен
Setup Reports to be emailed at regular intervals,Отчетите за настройка трябва да се изпращат по имейл на редовни интервали
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.","Изглежда сте написали името си вместо имейла си. Моля, въведете валиден имейл адрес, за да можем да се върнем обратно."
Website Settings,Настройки на уебсайта
Background Email Queue,Опашка за имейл на фона
{0} and {1},{0} и {1}
There was an error saving filters,При запазването на филтрите възникна грешка
Enter your password,Въведете паролата си
Success! You are good to go ?,Успех! Добре сте да отидете ?
Cannot delete Home and Attachments folders,Папките за начало и прикачени файлове не могат да бъдат изтрити
Settings for Contact Us Page,Настройки за страницата за връзка с нас
Social Login Provider,Доставчик на социални услуги
Previous Hash,Предишен хеш
Value Changed,Променена стойност
Report Type,Тип отчет
Default Address Template cannot be deleted,Шаблонът по подразбиране не може да бъде изтрит
Please set script URL on Gsuite Settings,"Моля, задайте URL адрес на скрипт в настройките на Gsuite"
Invalid limit {0},Невалидна граница {0}
No of emails remaining to be synced,"Не са останали имейли, които да бъдат синхронизирани"
User ID,Потребителски идентификатор
Website,уебсайт
sa-east-1,SA-изток-1
Notification Recipient,Получател на известие
Module,модул
Address Type,вид адрес
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","Ако това е отметнато, редовете с валидни данни ще бъдат импортирани и невалидните редове ще бъдат изхвърлени в нов файл, за да можете да импортирате по-късно."
Fieldname {0} appears multiple times in rows {1},Името на поле {0} се показва многократно в редове {1}
Error Log,Протокол за грешки
Half,наполовина
Home Page,Начална страница
Current Mapping Start,Текущо започване на картографирането
eye-close,око-близо
Assignment closed by {0},Заданието е затворено от {0}
Next Date's day and Repeat on Day of Month must be equal,Денят на следващата дата и повторение в ден от месеца трябва да са равни
Comments cannot have links or email addresses,Коментарите не могат да имат връзки или имейл адреси
Reference Communication,Справочна комуникация
Mandatory:,Задължителен:
Setting up your system,Настройка на вашата система
Payment Failed,Неуспешно плащане
Read,Прочети
SSL/TLS Mode,SSL / TLS режим
Print Format Help,Помощ за печат на формат
Between,между
Thank you for your interest in subscribing to our updates,Благодарим Ви за проявения интерес да се абонирате за нашите актуализации
Full Name,Пълно име
Allow GCalendar Access,Разрешаване на достъп до GCalendar
Reset Permissions for {0}?,Нулиране на разрешенията за {0}?
Start entering data below this line,Започнете да въвеждате данни под този ред
UNSEEN,UNSEEN
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,"Всички главни букви са почти толкова лесни за отгатване, колкото с малки букви."
Cannot use sub-query in order by,Не може да се използва под-заявка по ред
Transaction Log Report,Отчет за регистрация на транзакции
Is Global,Е глобален
Options Help,Опции Помощ
Is Sent,Е изпратено
Transaction Log,Регистър на транзакциите
eu-west-3,ес-запад-3
Complete Setup,Завършете настройката
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret е възстановена. При следващото влизане се изисква повторна регистрация.
In List View,В изглед на списък
Feedback Trigger,Тригер за обратна връзка
Confirm,потвърждавам
Valid email and name required,Изисква се валиден имейл и име
List of patches executed,Списък на изпълнените пачове
Email Queue,Опашка по имейл
View Website,Преглед на уебсайта
Fetch If Empty,Fetch If Empty
Select,Изберете
