Connector Type,コネクタの種類
Provider Name,プロバイダ名
Name cannot contain special characters like {0},名前に{0}のような特殊文字を含めることはできません
Enable Gradients,グラデーションを有効にする
Default Sort Order,デフォルトのソート順
Showing only Numeric fields from Report,レポートから数値フィールドのみを表示
folder-open,フォルダを開く
Is Table,テーブルです
Unable to open attached file. Did you export it as CSV?,添付ファイルを開けません。 CSVとしてエクスポートしましたか？
No Copy,コピーなし
Default Value,デフォルト値
Append To is mandatory for incoming mails,追記は受信メールに必須です
Data Migration Mapping Detail,データ移行マッピングの詳細
Unfollow,フォローを解除
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",「Raw Print」によるPDF印刷はまだサポートされていません。プリンタの設定でプリンタのマッピングを削除してから、もう一度やり直してください。
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,続行方法については、登録済みの電子メールアドレスを確認してください。このウィンドウに戻らないといけないので、このウィンドウを閉じないでください。
Insert Column Before {0},{0}の前に列を挿入
GCalendar Settings,GCalendarの設定
HTML for header section. Optional,ヘッダーセクションのHTMLオプション
_report,_報告書
Code,コード
Fraction Units,分数の単位
Export Customizations,カスタマイズのエクスポート
Force,力
User Email,ユーザーのメールアドレス
 Advanced Settings,高度な設定
Redirect To,リダイレクト先
Stopped,停止
Google API Credentials,Google APIクレデンシャル
Subject,件名
Revert,元に戻す
File backup is ready,ファイルバックアップの準備ができました
Add custom javascript to forms.,カスタムJavaScriptをフォームに追加します。
Add custom forms.,カスタムフォームを追加します。
This report was generated on {0},このレポートは{0}に生成されました
This document has been reverted,この文書は元に戻されました
Mapping Type,マッピングタイプ
Please select document type first.,最初に文書タイプを選択してください。
Make use of longer keyboard patterns,より長いキーボードパターンを利用する
Are you sure you want to delete the attachment?,添付ファイルを削除してよろしいですか？
ap-southeast-2,ap-southheast-2
Please verify your Email Address,火事もおきました
About Us Settings,私達について
Avoid sequences like abc or 6543 as they are easy to guess,abcや6543のようなシーケンスは推測しやすいので避けてください。
Insert Below,下に挿入
Error in Custom Script,カスタムスクリプトのエラー
Please specify which date field must be checked,どの日付フィールドをチェックする必要があるかを指定してください
Feedback,フィードバック
"Invalid ""depends_on"" expression",「depends_on」式が無効です
Session Expired,セッションの有効期限が切れ
Sent Read Receipt,開封済みメッセージの送信
Tools,道具
Contacts,連絡先
Document Share Report,ドキュメント共有レポート
Filter List,フィルターリスト
Notification Tones,通知トーン
You have used up all of the space allotted to you. Please buy more space in your subscription.,あなたはあなたに割り当てられたスペースを全部使い果たしました。あなたの購読のより多くのスペースを買ってください。
"Expression, Optional",式、オプション
Mandatory Information missing:,必須情報が欠けています：
DocType is a Table / Form in the application.,DocTypeはアプリケーション内のTable / Formです。
Primary,一次
Setup Reports to be emailed at regular intervals,レポートを定期的に電子メールで送信するように設定する
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",あなたはあなたのEメールの代わりにあなたの名前を書いたようです。有効なメールアドレスを入力してください。
Website Settings,ウェブサイト設定
Background Email Queue,バックグラウンド電子メールキュー
{0} and {1},{0}と{1}
There was an error saving filters,フィルタの保存中にエラーが発生しました
Enter your password,パスワードを入力してください
Success! You are good to go ?,成功！あなたは行ってもいいです
Cannot delete Home and Attachments folders,ホームフォルダと添付ファイルフォルダを削除できない
Settings for Contact Us Page,お問い合わせページの設定
Social Login Provider,ソーシャルログインプロバイダ
Previous Hash,前のハッシュ
Value Changed,変更された値
Report Type,レポートの種類
Default Address Template cannot be deleted,デフォルトの住所テンプレートは削除できません
Please set script URL on Gsuite Settings,Gsuite設定でスクリプトのURLを設定してください
Invalid limit {0},制限が無効です{0}
No of emails remaining to be synced,同期するメールが残っていません
User ID,ユーザーID
Website,ウェブサイト
sa-east-1,東南1
Notification Recipient,通知受信者
Module,モジュール
Address Type,住所タイプ
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.",これがチェックされていると、有効なデータを持つ行がインポートされ、後でインポートするために無効な行が新しいファイルにダンプされます。
Fieldname {0} appears multiple times in rows {1},フィールド名{0}が行{1}に複数回現れています
Error Log,エラーログ
Half,ハーフ
Home Page,ホームページ
Current Mapping Start,現在のマッピング開始
eye-close,目を閉じる
Assignment closed by {0},割り当ては{0}によって閉じられました
Next Date's day and Repeat on Day of Month must be equal,次の日の日と月の日の繰り返しは等しくなければなりません
Comments cannot have links or email addresses,コメントにリンクや電子メールアドレスを含めることはできません
Reference Communication,参照コミュニケーション
Mandatory:,必須：
Setting up your system,システムを設定する
Payment Failed,支払いに失敗しました
Read,読む
SSL/TLS Mode,SSL / TLSモード
Print Format Help,印刷フォーマットのヘルプ
Between,の間に
Thank you for your interest in subscribing to our updates,私たちの最新情報を購読することに関心をお寄せいただきありがとうございます
Full Name,フルネーム
Allow GCalendar Access,GCalendarアクセスを許可する
Reset Permissions for {0}?,{0}の権限をリセットしますか？
Start entering data below this line,この行の下にデータを入力してください
UNSEEN,目に見えない
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,すべて大文字は、すべて小文字と同じくらい簡単に推測できます。
Cannot use sub-query in order by,サブクエリを順番に使用することはできません
Transaction Log Report,トランザクションログレポート
Is Global,グローバルです
Options Help,オプションヘルプ
Is Sent,送信されます
Transaction Log,トランザクションログ
eu-west-3,eu-west-3
Complete Setup,完全なセットアップ
OTP Secret has been reset. Re-registration will be required on next login.,OTPシークレットがリセットされました。次回のログイン時に再登録が必要になります。
In List View,リストビューで
Feedback Trigger,フィードバックトリガー
Confirm,確認する
Valid email and name required,有効なメールアドレスと名前が必要です
List of patches executed,実行したパッチの一覧
Email Queue,メールキュー
View Website,ウェブサイトを見る
Fetch If Empty,空の場合は取得
Select,選択する
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".",デフォルト値フィールド（キー）と値を入力してください。フィールドに複数の値を追加すると、最初の値が選択されます。これらのデフォルトは、「一致」許可ルールを設定するためにも使用されます。フィールドのリストを見るには、「フォームのカスタマイズ」に進んでください。
Section Heading,セクション見出し
Avoid dates and years that are associated with you.,あなたに関連付けられている日付と年を避けます。
Press Enter to save,Enterを押して保存します
Reviews,レビュー
State,状態
Translation,翻訳
Columns,列
Cannot change docstatus from 1 to 0,docstatusを1から0に変更できません
