Connector Type,Type de connecteur
Provider Name,Nom du fournisseur
Name cannot contain special characters like {0},Le nom ne peut pas contenir de caractères spéciaux tels que {0}
Enable Gradients,Activer les dégradés
Default Sort Order,Ordre de tri par défaut
Showing only Numeric fields from Report,Afficher uniquement les champs numériques du rapport
folder-open,dossier ouvert
Is Table,Est la table
Unable to open attached file. Did you export it as CSV?,Impossible d&#39;ouvrir le fichier joint. L&#39;avez-vous exporté au format CSV?
No Copy,Pas de copie
Default Value,Valeur par défaut
Append To is mandatory for incoming mails,Append To est obligatoire pour les mails entrants
Data Migration Mapping Detail,Détails du mappage de migration de données
Unfollow,Se désabonner
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",L&#39;impression PDF via &quot;Raw Print&quot; n&#39;est pas encore prise en charge. Supprimez le mappage d&#39;imprimante dans les paramètres de l&#39;imprimante et réessayez.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,Veuillez vérifier votre adresse e-mail enregistrée pour obtenir des instructions sur la manière de procéder. Ne fermez pas cette fenêtre car vous devrez y retourner.
Insert Column Before {0},Insérer une colonne avant {0}
GCalendar Settings,Paramètres GCalendar
HTML for header section. Optional,HTML pour la section d&#39;en-tête. Optionnel
_report,_rapport
Code,Code
Fraction Units,Unités de fraction
Export Customizations,Exporter les personnalisations
Force,Obliger
Setup &gt; User Permissions,Configuration&gt; Autorisations utilisateur
User Email,Email de l&#39;utilisateur
 Advanced Settings,Réglages avancés
Redirect To,Rediriger vers
Stopped,Arrêté
Google API Credentials,Informations d&#39;identification Google API
Subject,Assujettir
Revert,Revenir
File backup is ready,La sauvegarde de fichier est prête
Add custom javascript to forms.,Ajoutez du javascript personnalisé aux formulaires.
Add custom forms.,Ajouter des formulaires personnalisés.
This report was generated on {0},Ce rapport a été généré le {0}.
This document has been reverted,Ce document a été annulé
Mapping Type,Type de mappage
Please select document type first.,Sélectionnez d&#39;abord le type de document.
Make use of longer keyboard patterns,Utilisez des motifs de clavier plus longs
Are you sure you want to delete the attachment?,Êtes-vous sûr de vouloir supprimer la pièce jointe?
ap-southeast-2,ap-sud-est-2
