apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Доступні нові {} версії для наступних додатків
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,"Будь ласка, виберіть поле Сума."
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Завантаження файлу імпорту ...
DocType: Assignment Rule,Last User,Останній користувач
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Нова задача, {0}, була призначена вам користувачем {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,За замовчуванням сесії збережено
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Перезавантажити файл
DocType: Email Queue,Email Queue records.,Черга електронної пошти записів.
DocType: Post,Post,Post
DocType: Address,Punjab,Пенджаб
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,"Перейменувати безліч предметів, завантаживши файл .csv."
DocType: Workflow State,pause,пауза
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Вам не дозволяється доступ до цієї сторінки.
DocType: About Us Settings,Website,Веб-сайт
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,"Ви повинні бути зареєстровані, щоб відкрити цю сторінку"
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Примітка: Декілька сесій буде дозволено в разі мобільного пристрою
DocType: DocType,Form Settings,Налаштування форми
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Завантажити дані
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Остаточно провести {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Завантажте резервні копії файлів
DocType: Address,County,Область
DocType: Workflow,If Checked workflow status will not override status in list view,Якщо прапорець встановлений статус робочого процесу не скасовує статус у вигляді списку
apps/frappe/frappe/client.py,Invalid file path: {0},Невірний шлях до файлу: {0}
DocType: Workflow State,eye-open,очі відкритими
DocType: Email Queue,Send After,Відправити Після
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,"Будь ласка, виберіть файл або URL"
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} Дерево
DocType: User,User Emails,листи користувачів
DocType: User,Username,Ім&#39;я користувача
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Імпортувати Zip
apps/frappe/frappe/model/base_document.py,Value too big,Занадто велике значення
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Test Run Script
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,"Виберіть Календар Google, до якої події слід синхронізувати."
DocType: Data Import,Total Rows,Усього рядків
DocType: Contact,Department,Відділ
DocType: DocField,Options,Опції
apps/frappe/frappe/client.py,Cannot edit standard fields,Не можете редагувати стандартні поля
DocType: Print Format,Print Format Builder,Конструктор форматів друку
DocType: GCalendar Account,Calendar Name,Назва календаря
DocType: Report,Report Manager,Диспетчер звітів
DocType: Workflow,Document States,Документ Штати
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,"Вибачте! Я не міг знайти те, що ви шукали."
DocType: Data Migration Run,Logs,Колоди
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,Виникла помилка збереження фільтрів
DocType: Custom DocPerm,This role update User Permissions for a user,Це оновлення роль права користувачів для користувача
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},Перейменувати {0}
DocType: Workflow State,zoom-out,зменшити
DocType: Data Import Beta,Import Options,Параметри імпорту
apps/frappe/frappe/public/js/frappe/form/form.js,Cannot open {0} when its instance is open,"Не вдається відкрити {0}, коли його примірник відкритий"
apps/frappe/frappe/model/document.py,Table {0} cannot be empty,Таблиця {0} не може бути порожнім
DocType: SMS Parameter,Parameter,Параметр
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html,Images,зображень
DocType: Activity Log,Reference Owner,посилання Власник
DocType: Currency,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Найменша частка, наявна в обігу (монета). Наприклад, 1 копійка для ГРН, і вона має бути введена як 0,01"
DocType: Social Login Key,GitHub,GitHub
apps/frappe/frappe/model/base_document.py,"{0}, Row {1}","{0}, Ряд {1}"
DocType: DocField,Markdown Editor,Markdown Editor
apps/frappe/frappe/model/document.py,Beginning with,Починаючи з
apps/frappe/frappe/core/doctype/data_export/exporter.py,Data Import Template,Шаблон імпорту даних
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,An error occurred while setting Session Defaults,Під час встановлення стандартних параметрів сесії сталася помилка
apps/frappe/frappe/public/js/frappe/model/model.js,Parent,Батько
apps/frappe/frappe/templates/emails/download_data.html,We have received a request from you to download your {0} data associated with: {1},"Ми отримали від вас запит на завантаження ваших {0} даних, пов’язаних із: {1}"
DocType: System Settings,"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Якщо включено, то сила пароля буде забезпечуватися на основі мінімального значення пароля Score. Значення 2 є середньої сили і 4 будучи дуже сильним."
DocType: System Settings,"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Якщо включено, то сила пароля буде забезпечуватися на основі мінімального значення пароля Score. Значення 2 є середньої сили і 4 будучи дуже сильним."
DocType: About Us Settings,"""Team Members"" or ""Management""",&quot;Члени команди&quot; або &quot;Управління&quot;
apps/frappe/frappe/core/doctype/doctype/doctype.py,Default for 'Check' type of field must be either '0' or '1',За замовчуванням для &quot;Перевірити&quot; типу поля повинні бути &#39;0&#39; або &#39;1&#39;
apps/frappe/frappe/public/js/frappe/utils/pretty_date.js,Yesterday,Вчора
DocType: Contact,Designation,Посада
apps/frappe/frappe/email/doctype/email_account/email_account.py,Automatic Linking can be activated only for one Email Account.,Автоматичне посилання може бути активоване лише для одного облікового запису електронної пошти.
DocType: Test Runner,Test Runner,Тест Runner
DocType: Auto Repeat,Monthly,Щомісяця
DocType: Address,Uttarakhand,Уттаракханд
DocType: Email Account,Enable Incoming,Включення вхідної
apps/frappe/frappe/core/doctype/version/version_view.html,Danger,Небезпека
DocType: Address,Email Address,Адреса електронної пошти
DocType: Workflow State,th-large,й за величиною
DocType: Communication,Unread Notification Sent,"Непрочитана повідомлення, направленого"
apps/frappe/frappe/public/js/frappe/utils/tools.js,Export not allowed. You need {0} role to export.,Експорт не допускаються. Ви повинні {0} роль експорту.
DocType: Assignment Rule,Automatically Assign Documents to Users,Автоматично призначати користувачам документи
apps/frappe/frappe/public/js/frappe/social/components/Post.vue,Unpin,Відкрутити
DocType: System Settings,In seconds,Через кілька секунд
apps/frappe/frappe/public/js/frappe/list/list_view.js,Cancel {0} documents?,Скасувати {0} документи?
DocType: DocType,Is Published Field,Є Опубліковано поле
DocType: GCalendar Settings,GCalendar Settings,Налаштування GCalendar
DocType: Email Group,Email Group,E-mail Група
apps/frappe/frappe/integrations/doctype/google_calendar/google_calendar.py,"Google Calendar - Could not delete Event {0} from Google Calendar, error code {1}.","Календар Google - не вдалося видалити подію {0} з календаря Google, код помилки {1}."
DocType: Event,Pulled from Google Calendar,Стягнуто з Календаря Google
DocType: Note,Seen By,Побачений
apps/frappe/frappe/public/js/frappe/form/grid.js,Add Multiple,Додати кілька
apps/frappe/frappe/social/doctype/energy_point_log/energy_point_log.py,You gained some energy points,Ви отримали кілька енергетичних балів
apps/frappe/frappe/core/doctype/user/user.py,Not a valid User Image.,Недійсне зображення користувача.
DocType: Energy Point Log,Reverted,Повернено
DocType: Success Action,First Success Message,Перше повідомлення про успіх
apps/frappe/frappe/public/js/frappe/ui/filters/filters.js,Not Like,Не схоже на
apps/frappe/frappe/model/document.py,Incorrect value: {0} must be {1} {2},Неправильне значення: {0} повинен бути {1} {2}
