apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Uued {} järgmised rakendused on saadaval
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Palun valige väljal Kogus.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Impordifaili laadimine ...
DocType: Assignment Rule,Last User,Viimane kasutaja
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Uus ülesanne, {0}, on määratud teile {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Seansi vaikesätted on salvestatud
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Laadige fail uuesti
DocType: Email Queue,Email Queue records.,E Queue arvestust.
DocType: Post,Post,Post
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,Nimeta palju punkte laadides csv failist.
DocType: Workflow State,pause,paus
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Sa ei tohi pääseda sellele lehele.
DocType: About Us Settings,Website,Koduleht
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,"Sa pead olema sisselogitud, et pääseda sellele lehele"
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Märkus: Mitu istungid on lubatud juhul mobiilne seade
DocType: DocType,Form Settings,Vormi seaded
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Andmete allalaadimine
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Püsivalt Esita {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Laadige alla failide varundamine
DocType: Address,County,maakond
DocType: Workflow,If Checked workflow status will not override status in list view,Kui on valitud töövoo oleku ei alistada staatuse loendivaate
apps/frappe/frappe/client.py,Invalid file path: {0},Vigane faili tee: {0}
DocType: Workflow State,eye-open,silmade avatud
DocType: Email Queue,Send After,Saada Pärast
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,Palun valige fail või url
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} Tree
DocType: User,User Emails,Kasutaja kirjad
DocType: User,Username,Kasutajanimi
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Impordi Zip
apps/frappe/frappe/model/base_document.py,Value too big,Väärtus liiga suur
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Run Script Test
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,"Valige Google Calendar, millist sündmust tuleks sünkroonida."
DocType: Data Import,Total Rows,Kokku ridasid
DocType: Contact,Department,Department
DocType: DocField,Options,Valikud
apps/frappe/frappe/client.py,Cannot edit standard fields,Ei saa muuta standard väljad
