th-list,th-liste
Switch To Desk,Bytt til skrivebord
Average,Gjennomsnitt
Awaiting Password,Venter på passord
New value to be set,Ny verdi som skal settes
Cannot connect: {0},Kan ikke koble til: {0}
Hide Standard Menu,Skjul standardmeny
Click here to check your usage or upgrade to a higher plan,Klikk her for å sjekke bruken din eller oppgradere til en høyere plan
Please enter Client Secret before social login is enabled,Vennligst skriv inn klienthemmelig før sosial pålogging er aktivert
Default Address Template cannot be deleted,Standard adressemal kan ikke slettes
Attachment Removed,Vedlegg fjernet
values separated by commas,verdier skilt av kommaer
User {0} does not have doctype access via role permission for document {1},Bruker {0} har ikke tilgang til doktype via rolletillatelse for dokument {1}
Authentication Apps you can use are: ,Autentiseringsprogrammer du kan bruke er:
Energy Point Settings,Energipunktinnstillinger
Add Another Comment,Legg til en annen kommentar
Report Filters,Rapporter filtre
Title field must be a valid fieldname,Tittelfelt må være et gyldig feltnavn
LDAP Username Field,LDAP brukernavn felt
Email Reply Help,E-post Svar Hjelp
Default Sending and Inbox,Standard sending og innboks
Cannot change docstatus from 0 to 2,Kan ikke endre docstatus fra 0 til 2
Email Group List,E-postgruppe liste
Show Totals,Vis Totals
Y Axis Fields,Y aksefelter
You can add dynamic properties from the document by using Jinja templating.,Du kan legge til dynamiske egenskaper fra dokumentet ved å bruke Jinja-templering.
Redirect To,Viderekobling til
Send alert if this field's value changes,Send varsel hvis dette feltets verdi endres
Field '{0}' cannot be set as Unique as it has non-unique values,"Felt &#39;{0}&#39; kan ikke settes som unikt, da det har ikke-unike verdier"
Gender,Kjønn
Client key is required,Klient nøkkel er nødvendig
User '{0}' already has the role '{1}',Bruker &#39;{0}&#39; har allerede rollen &#39;{1}&#39;
Keeps track of all communications,Holder oversikt over all kommunikasjon
Rich Text,Rik tekst
Send Now,Send nå
Administrator accessed {0} on {1} via IP Address {2}.,Administrator åpnet {0} på {1} via IP-adresse {2}.
Time,Tid
No records present in {0},Ingen poster i {0}
Reviews,anmeldelser
Restrict user for specific document,Begrens brukeren for bestemt dokument
{0} appreciated your work on {1} with {2} points,{0} verdsatt arbeidet ditt på {1} med {2} poeng
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,Navn på dokumenttypen (DocType) du vil at dette feltet skal kobles til. f.eks. kunde
