apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,نئی {} مندرجہ ذیل ایپس کے لئے ریلیز دستیاب ہیں
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,ایک رقم فیلڈ براہ مہربانی منتخب کریں.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,درآمد فائل لوڈ ہو رہا ہے…
DocType: Assignment Rule,Last User,آخری صارف
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}",ایک نیا کام، {0}، {1} ذریعہ آپ کو تفویض کیا گیا ہے. {2}
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,سیشن ڈیفالٹس محفوظ ہوگیا۔
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,فائل کو دوبارہ لوڈ کریں۔
DocType: Email Queue,Email Queue records.,ای میل کی قطار ریکارڈز.
DocType: Post,Post,پوسٹ
DocType: Address,Punjab,پنجاب
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,ایک CSV فائل اپ لوڈ کرنے کی طرف سے بہت سی اشیاء کا نام تبدیل کریں.
DocType: Workflow State,pause,توقف
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,آپ کو اس صفحہ تک رسائی کی اجازت نہیں ہے.
DocType: About Us Settings,Website,ویب سائٹ
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,آپ کو اس صفحہ تک رسائی کے لئے لاگ ان کرنے کی ضرورت ہے
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,نوٹ: ایک سے زیادہ سیشن کے موبائل آلہ کی صورت میں اجازت دی جائے گی
DocType: DocType,Form Settings,فارم کی ترتیبات۔
apps/frappe/frappe/templates/emails/download_data.html,Download Data,ڈیٹا ڈاؤن لوڈ کریں۔
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,مستقل طور پر {0} جمع کرائیں؟
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,فائلیں بیک اپ ڈاؤن لوڈ کریں
DocType: Address,County,کاؤنٹی
DocType: Workflow,If Checked workflow status will not override status in list view,چیک کئے گئے کام کے فلو کی حیثیت فہرست دیکھنے میں اسٹیٹس کی جگہ لے لے نہیں کریں گے تو
apps/frappe/frappe/client.py,Invalid file path: {0},غلط فائل کا پاتھ: {0}
DocType: Workflow State,eye-open,آنکھ کھلی
DocType: Email Queue,Send After,بھیجنے کے بعد
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,ایک فائل یا یو آر ایل کو منتخب کریں
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} درخت
DocType: User,User Emails,صارف ای میلز
DocType: User,Username,صارف کا نام
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,زپ درآمد کریں
apps/frappe/frappe/model/base_document.py,Value too big,بہت بڑی قیمت
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,چلائیں اسکرپٹ ٹیسٹ
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,گوگل کیلنڈر منتخب کریں جس میں مطابقت پذیر ہونا چاہئے۔
DocType: Data Import,Total Rows,کل قطار
DocType: Contact,Department,محکمہ
DocType: DocField,Options,اختیارات
apps/frappe/frappe/client.py,Cannot edit standard fields,سٹینڈرڈ کھیتوں میں ترمیم نہیں کر سکتے ہیں
DocType: Print Format,Print Format Builder,پرنٹ کی شکل بلڈر
DocType: GCalendar Account,Calendar Name,کیلنڈر کا نام
DocType: Report,Report Manager,رپورٹ کے مینیجر
DocType: Workflow,Document States,دستاویز امریکہ
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,معاف کیجئے گا! میں آپ کے لئے تلاش کر رہے تھے نہیں مل سکا.
DocType: Data Migration Run,Logs,کھنگالیں
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,فلٹرز کو محفوظ کرنے میں ایک خامی تھی۔
DocType: Custom DocPerm,This role update User Permissions for a user,ایک صارف کے لئے یہ کردار اپ ڈیٹ صارف کی اجازت
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},نام تبدیل {0}
DocType: Workflow State,zoom-out,دور کرنا
DocType: Data Import Beta,Import Options,امپورٹ آپشنز۔
