A4,រថយន្ត A4,
API Endpoint,ចំណុចបញ្ចប់ API,
API Key,កូនសោ API,
Access Token,ការចូលដំណើរការ Token,
Account,គណនី,
Accounts Manager,ការគ្រប់គ្រងគណនី,
Accounts User,គណនីអ្នកប្រើប្រាស់,
Action,សកម្មភាព,
Actions,ការប្រព្រឹត្ដ,
Active,សកម្ម,
Add,បន្ថែម,
Add Comment,បន្ថែមសេចក្តីអធិប្បាយ,
Add Row,បន្ថែមជួរដេក,
Address,អាសយដ្ឋាន,
Address Line 2,អាសយដ្ឋានបន្ទាត់ទី 2,
Address Title,អាសយដ្ឋានចំណងជើង,
Address Type,ប្រភេទអាសយដ្ឋាន,
Administrator,អ្នកគ្រប់គ្រង,
All Day,ថ្ងៃទាំងអស់,
Allow Delete,អនុញ្ញាតការលុប,
Amended From,ធ្វើវិសោធនកម្មពី,
Amount,ចំនួនទឹកប្រាក់,
Applicable For,កម្មវិធីសម្រាប់,
Approval Status,ស្ថានភាពការអនុម័ត,
Assign,ចាត់តាំង,
Assign To,ផ្ដល់ទៅឱ្យ,
Attachment,ឯកសារភ្ជាប់,
Attachments,ឯកសារភ្ជាប់,
Author,អ្នកនិពន្ធ,
Auto Repeat,ធ្វើម្តងទៀតដោយស្វ័យប្រវត្តិ,
Base URL,URL មូលដ្ឋាន,
Based On,ដោយផ្អែកលើការ,
Beginner,ចាប់ផ្តើម,
Billing,វិក័យប័ត្រ,
Cancel,បោះបង់,
Category,ប្រភេទ,
Category Name,ប្រភេទឈ្មោះ,
City,ទីក្រុង,
City/Town,ទីក្រុង / ក្រុង,
Client,ម៉ាស៊ីនភ្ញៀវ,
Client ID,លេខសម្គាល់អតិថិជន,
Client Secret,អតិថិជនសម្ងាត់,
Closed,បានបិទ,
Code,លេខកូដ,
Collapse All,វេញទាំងអស់,
Color,ពណ៌,
Company Name,ឈ្មោះក្រុមហ៊ុន,
Condition,លក្ខខណ្ឌ,
Contact,ការទំនាក់ទំនង,
Contact Details,ពត៌មានទំនាក់ទំនង,
Content,មាតិការ,
Content Type,ប្រភេទមាតិការ,
Create,បង្កើត,
Created By,បានបង្កើតដោយ,
Current,នាពេលបច្ចុប្បន្ន,
Custom HTML,HTML ផ្ទាល់ខ្លួន,
Custom?,ផ្ទាល់ខ្លួន?,
Date Format,ទ្រង់ទ្រាយកាលបរិច្ឆេទ,
Datetime,Datetime,
Day,ថ្ងៃ,
Default Letter Head,លំនាំដើមលិខិតនាយក,
Defaults,លំនាំដើម,
Delivery Status,ស្ថានភាពដឹកជញ្ជូន,
Department,នាយកដ្ឋាន,
Details,ពត៌មានលំអិត,
Document Name,ឈ្មោះឯកសារ,
Document Status,ស្ថានភាពឯកសារ,
Document Type,ប្រភេទឯកសារ,
Domain,ដែន,
Domains,ដែន,
Draft,សេចក្តីព្រាង,
Edit,កែប្រែ,
Email Account,គណនីអ៊ីម៉ែល,
Email Address,អាស័យដ្ឋានអ៊ីម៉េល,
Email ID,លេខសំគាល់សារអេឡិចត្រូនិច,
Email Sent,អ៊ីម៉ែល,
Email Template,គំរូអ៊ីម៉ែល,
Enable,អនុញ្ញាត,
Enabled,បានបើក,
End Date,កាលបរិច្ឆេទបញ្ចប់,
Error Code: {0},កំហុសកូដ: {0},
Error Log,កំហុសក្នុងការចូល,
Event,ព្រឹត្តការណ៍,
Expand All,ពង្រីកទាំងអស់,
Fail,បរាជ័យ,
Failed,បានបរាជ័យ,
Fax,ទូរសារ,
Feedback,មតិអ្នក,
Female,ស្រី,
Field Name,ឈ្មោះវាល,
Fieldname,Fieldname,
Fields,វាល,
First Name,ឈ្មោះជាលើកដំបូង,
Frequency,ភពញឹកញប់,
Friday,ថ្ងៃសុក្រ,
From,ចាប់ពី,
Full,ពេញ,
Full Name,ឈ្មោះពេញ,
Further nodes can be only created under 'Group' type nodes,ថ្នាំងបន្ថែមទៀតអាចត្រូវបានបង្កើតក្រោមការថ្នាំងប្រភេទ &#39;ក្រុម,
Gender,យែនឌ័រ,
GitHub Sync ID,GitHub ធ្វើសមកាលកម្មលេខសម្គាល់,
Guest,អ្នកទស្សនា,
Half Day,ពាក់កណ្តាលថ្ងៃ,
Half Yearly,ពាក់កណ្តាលប្រចាំឆ្នាំ,
High,ឧត្តម,
Hourly,រៀងរាល់ម៉ោង,
Hub Sync ID,Hub Sync ID,
IP Address,អាសយដ្ឋាន IP,
Image,រូបភាព,
Image View,មើលរូបភាព,
Import Data,នាំចូលទិន្នន័យ,
Import Log,នាំចូលចូល,
Inactive,អសកម្ម,
Insert,បញ្ចូល,
Interests,ចំណាប់អារម្មណ៍,
Introduction,សេចក្តីផ្តើម,
Is Active,គឺជាសកម្ម,
Is Completed,ត្រូវបានបញ្ចប់,
Is Default,ជាលំនាំដើម,
Kanban Board,ក្តារកានបាន,
Label,ស្លាក,
Language Name,ឈ្មោះភាសា,
Last Name,ឈ្មោះចុងក្រោយ,
Leaderboard,តារាងពិន្ទុ,
Letter Head,លិខិតនាយក,
Level,កំរិត,
Limit,ដែនកំណត់,
Log,កំណត់ហេតុ,
Logs,កំណត់ហេតុ,
Low,កម្រិតទាប,
Maintenance Manager,កម្មវិធីគ្រប់គ្រងថែទាំ,
Maintenance User,អ្នកប្រើប្រាស់ថែទាំ,
Male,ឈ្មោល,
Mandatory,ជាចាំបាច់,
Mapping,ផែនទី,
Mapping Type,ប្រភេទផែនទី,
Medium,មធ្យម,
Meeting,កិច្ចប្រជុំ,
Message Examples,ឧទាហរណ៏បានសារ,
Method,វិធីសាស្រ្ត,
Middle Name,ជាឈ្មោះកណ្តាល,
Middle Name (Optional),ឈ្មោះពាក់កណ្តាល (ជាជម្រើស),
Monday,កាលពីថ្ងៃចន្ទ,
Monthly,ប្រចាំខែ,
More,ច្រើនទៀត,
More Information,ព័ត៌មានបន្ថែម,
More...,ច្រើនទៀត ...,
Move,ការផ្លាស់ប្តូរ,
My Account,គណនីរបស់ខ្ញុំ,
New Address,អាសយដ្ឋានថ្មី,
New Contact,ទំនាក់ទំនងថ្មី,
Next,បន្ទាប់,
No Data,គ្មានទិន្នន័យ,
No address added yet.,គ្មានអាសយដ្ឋានបន្ថែមនៅឡើយទេ។,
No contacts added yet.,គ្មានទំនាក់ទំនងបានបន្ថែមនៅឡើយទេ។,
No items found.,រកមិនឃើញធាតុ។,
None,គ្មាន,
Not Permitted,មិនអនុញ្ញាត,
Not active,មិនសកម្ម,
Notes,កំណត់ត្រា,
Number,ចំនួន,
Online,លើបណ្តាញ,
Operation,ប្រតិបត្ដិការ,
Options,ជម្រើស,
Other,ផ្សេងទៀត,
Owner,ម្ចាស់,
Page Missing or Moved,ទំព័របាត់ឬបានផ្លាស់ប្តូរ,
Parameter,ប៉ារ៉ាម៉ែត្រ,
Password,ពាក្យសម្ងាត់,
Payment Gateway,ការទូទាត់,
Payment Gateway Name,ឈ្មោះ Gateway ការទូទាត់,
Payments,ការទូទាត់,
Period,រយៈពេល,
Pincode,Pincode,
Plan Name,ឈ្មោះផែនការ,
Please enable pop-ups,សូមអនុញ្ញាតការលេច,
Please select Company,សូមជ្រើសរើសក្រុមហ៊ុន,
Please select {0},សូមជ្រើស {0},
Please set Email Address,សូមកំណត់អាសយដ្ឋានអ៊ីមែល,
Portal,វិបផតថល,
Portal Settings,ការកំណត់ផតថល,
Preview,មើលជាមុន,
Primary,បឋមសិក្សា,
Print Format,ការបោះពុម្ពទ្រង់ទ្រាយ,
Print Settings,ការកំណត់សម្រាប់ការបោះពុម្ព,
Print taxes with zero amount,បោះពុម្ពពន្ធដែលមានលេខសូន្យ,
Private,ឯកជន,
Property,ទ្រព្យសម្បត្ដិ,
Public,សាធារណៈ,
