apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +225,Press Esc to close,Pressione Esc para fechar
apps/frappe/frappe/desk/form/assign_to.py +153,"A new task, {0}, has been assigned to you by {1}. {2}","Uma nova tarefa, {0}, foi atribuída a você por {1}. {2}"
apps/frappe/frappe/desk/page/messages/messages_main.html +12,Post,Postagem
apps/frappe/frappe/config/setup.py +98,Rename many items by uploading a .csv file.,Renomeie muitos itens fazendo o upload de um arquivo csv . .
DocType: Workflow State,pause,pausa
apps/frappe/frappe/templates/pages/desk.py +18,You are not permitted to access this page.,Você não tem permissão para acessar esta página.
DocType: User,Facebook Username,Usuário do Facebook
apps/frappe/frappe/email/bulk.py +148,Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Não é possível enviar este e-mail. Você cruzou o limite de envio de {0} e-mails para este mês.
apps/frappe/frappe/public/js/legacy/form.js +690,Permanently Submit {0}?,Confirmar permanentemente {0} ?
apps/frappe/frappe/client.py +162,Invalid file path: {0},Caminho de arquivo inválido: {0}
DocType: Workflow State,eye-open,olho aberto
DocType: Bulk Email,Send After,Envie Depois
apps/frappe/frappe/utils/file_manager.py +30,Please select a file or url,"Por favor, selecione um arquivo ou url"
DocType: DocField,DocField,DocField
DocType: Comment,Comment By Fullname,Comentado por Nome Completo
DocType: DocField,Options,Opções
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +344,Cannot edit standard fields,Não é possível editar campos padrão
DocType: Print Format,Print Format Builder,Formato de Impressão Builder
apps/frappe/frappe/public/js/frappe/ui/page.js +4,Form,Formato
DocType: Report,Report Manager,Gerenciador de relatórios
DocType: Workflow,Document States,Documento Unidos
apps/frappe/frappe/public/js/frappe/views/pageview.js +102,Sorry! I could not find what you were looking for.,Desculpe! Eu não poderia encontrar o que você estava procurando.
DocType: DocPerm,This role update User Permissions for a user,Este papel Permissions atualização do utilizador para um usuário
apps/frappe/frappe/public/js/frappe/model/model.js +486,Rename {0},Mudar o nome {0}
DocType: Workflow State,zoom-out,diminuir zoom
DocType: Comment,Reference DocType and Reference Name are used to render a comment as a link (href) to a Doc.,Referência DocType e nome de referência são usados ​​para renderizar um comentário como um link (href) a uma Doc.
apps/frappe/frappe/public/js/legacy/form.js +65,Cannot open {0} when its instance is open,Não é possível abrir {0} quando sua instância está aberta
apps/frappe/frappe/model/document.py +749,Table {0} cannot be empty,Tabela {0} não pode ser vazio
apps/frappe/frappe/public/js/frappe/views/reports/grid_report.js +891,With Ledgers,com Ledgers
DocType: Social Login Keys,GitHub,GitHub
apps/frappe/frappe/model/base_document.py +465,"{0}, Row {1}","{0}, Linha {1}"
apps/frappe/frappe/model/document.py +723,Beginning with,começando com
apps/frappe/frappe/core/page/data_import_tool/exporter.py +51,Data Import Template,Modelo de importação de dados
apps/frappe/frappe/public/js/frappe/model/model.js +31,Parent,Parente
apps/frappe/frappe/print/doctype/print_format/print_format.py +32,Syntax error in Jinja template,Erro de sintaxe na template Jinja
DocType: About Us Settings,"""Team Members"" or ""Management""",&quot;Membros da Equipe&quot; ou &quot;Gerenciamento&quot;
apps/frappe/frappe/core/doctype/doctype/doctype.py +284,Default for 'Check' type of field must be either '0' or '1',"Padrão para ""Verificar"" o  tipo de campo deve ser '0' ou '1'"
apps/frappe/frappe/public/js/frappe/list/listview.js +340,Yesterday,Ontem
apps/frappe/frappe/public/js/frappe/views/test_runner.js +10,Test Runner,Test Runner
DocType: Email Account,Enable Incoming,Ativar Incoming
DocType: Workflow State,Danger,Perigo
DocType: Workflow State,th-large,ª-grande
DocType: Communication,Unread Notification Sent,Notificação não lida Enviados
apps/frappe/frappe/public/js/frappe/misc/tools.js +8,Export not allowed. You need {0} role to export.,Exportação não é permitido . Você precisa de {0} papel para exportar .
apps/frappe/frappe/public/js/frappe/ui/filters/edit_filter.html +11,Not Like,Não parece
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +155,Set the display label for the field,Defina o rótulo de exibição do campo
apps/frappe/frappe/model/document.py +740,Incorrect value: {0} must be {1} {2},Valor incorreto: {0} deve ser {1} {2}
apps/frappe/frappe/config/setup.py +196,"Change field properties (hide, readonly, permission etc.)","Alterar as propriedades do campo (esconder , readonly , permissão etc )"
DocType: Workflow State,lock,trancar
apps/frappe/frappe/config/website.py +74,Settings for Contact Us Page.,Configurações da Página Fale Conosco.
apps/frappe/frappe/core/doctype/user/user.py +490,Administrator Logged In,Administrador logado
DocType: Contact Us Settings,"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Opções de contato, como &quot;Consulta de Vendas, Consulta de suporte&quot;, etc cada uma em uma nova linha ou separadas por vírgulas."
apps/frappe/frappe/public/js/frappe/ui/editor.js +448,Insert,Insert
apps/frappe/frappe/public/js/frappe/form/link_selector.js +21,Select {0},Selecione {0}
DocType: Feed,Color,Cor
apps/frappe/frappe/public/js/frappe/views/reports/query_report.js +49,For ranges,Para faixas
DocType: Workflow State,indent-right,indentar à direita
apps/frappe/frappe/public/js/frappe/ui/upload.html +12,Web Link,Link da Web
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +33,"Recommended bulk editing records via import, or understanding the import format.","Registros de edição em massa Recomendado via importação, ou compreender o formato de importação."
