Connector Type,نوع اتصال
Provider Name,نام ارائه دهنده
Name cannot contain special characters like {0},نام نمی تواند شامل کاراکترهای خاص مانند {0}
Enable Gradients,فعال کردن گرادیانها
Default Sort Order,مرتب سازی پیش فرض
Showing only Numeric fields from Report,نمایش فقط فیلدهای عددی از گزارش
folder-open,پوشه باز
Is Table,میز است
Unable to open attached file. Did you export it as CSV?,قادر به باز کردن فایل متصل نیست آیا شما آن را به عنوان CSV صادر کردید؟
No Copy,بدون کپی
Default Value,مقدار پیش فرض
Append To is mandatory for incoming mails,اضافه کردن به برای ایمیل های ورودی اجباری است
Data Migration Mapping Detail,جزئیات نقشه برداری مهاجرت
Unfollow,لغو شدن
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",چاپ PDF از طریق &quot;Raw Print&quot; هنوز پشتیبانی نشده است. لطفا نقشه پرینتر را در تنظیمات چاپگر حذف کنید و دوباره امتحان کنید.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,لطفا آدرس ایمیل ثبت شده خود را برای دستورالعمل هایی درباره نحوه ادامه انجام دهید. این پنجره را بسته نکنید زیرا باید به آن بازگردید.
Insert Column Before {0},درج ستون قبل از {0}
GCalendar Settings,تنظیمات GCalendar
HTML for header section. Optional,HTML برای بخش هدر اختیاری
_report,_گزارش
Code,کد
Fraction Units,واحدهای کسری
Export Customizations,سفارشی سازی صادرات
Force,زور
User Email,ایمیل کاربر
 Advanced Settings,تنظیمات پیشرفته
Redirect To,تغییر مسیر به
Stopped,متوقف شد
Google API Credentials,اعتبار گوگل API
Subject,موضوع
Revert,بازگرداندن
File backup is ready,نسخه پشتیبان تهیه فایل آماده است
Add custom javascript to forms.,جاوا اسکریپت سفارشی را به فرم اضافه کنید
Add custom forms.,فرم های سفارشی را اضافه کنید
This report was generated on {0},این گزارش در {0} تولید شد
This document has been reverted,این سند بازگشته است
Mapping Type,نوع نقشه برداری
Please select document type first.,لطفا ابتدا سند را انتخاب کنید.
Make use of longer keyboard patterns,از الگوهای صفحه کلید دیگر استفاده کنید
Are you sure you want to delete the attachment?,آیا مطمئن هستید که میخواهید پیوست را حذف کنید؟
ap-southeast-2,ap-southheast-2
Please verify your Email Address,لطفا آدرس ایمیل خود را تایید کنید
About Us Settings,درباره ما تنظیمات
Avoid sequences like abc or 6543 as they are easy to guess,اجتناب از توالی هایی مانند abc یا 6543 به عنوان آنها آسان است حدس بزنید
Insert Below,در زیر وارد کنید
Error in Custom Script,خطای سفارشی اسکریپت
Please specify which date field must be checked,لطفا مشخص کنید کدام فیلد تاریخ باید بررسی شود
Feedback,بازخورد
"Invalid ""depends_on"" expression",عبارت &quot;depends_on&quot; نامعتبر است
Session Expired,جلسه تمام شده
Sent Read Receipt,دریافت خواندن خوانده شده ارسال شد
Tools,ابزارها
Contacts,مخاطب
Document Share Report,سند اشتراک گزارش
Filter List,لیست فیلتر
Notification Tones,صدای اعلان
You have used up all of the space allotted to you. Please buy more space in your subscription.,شما از تمام فضای اختصاص یافته به شما استفاده کرده اید. لطفا فضای بیشتری را در اشتراک خود خریداری کنید.
"Expression, Optional",بیان، اختیاری
Mandatory Information missing:,اطلاعات اجباری گم شده:
DocType is a Table / Form in the application.,DocType یک جدول / فرم در برنامه است.
Primary,اولیه
Setup Reports to be emailed at regular intervals,گزارش های راه اندازی در فواصل منظم ایمیل می شود
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",به نظر می رسد که به جای ایمیل خود نام خود را نوشته اید. \ لطفا یک آدرس ایمیل معتبر وارد کنید تا بتوانیم به عقب برگردیم
Website Settings,تنظیمات وب سایت
Background Email Queue,پسزمینه صف ایمیل
{0} and {1},{0} و {1}
