apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Quyidagi ilovalar uchun yangi {} versiyalar mavjud
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Miqdor maydoni tanlang.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Import qilingan fayl yuklanmoqda ...
DocType: Assignment Rule,Last User,So'nggi foydalanuvchi
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}",{1} tomonidan sizga yangi vazifa ({0}) tayinlangan. {2}
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Seans birlamchi sozlamalari saqlandi
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Faylni qayta yuklash
DocType: Email Queue,Email Queue records.,Email Queue qaydlari.
DocType: Post,Post,Post
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,.csv faylini yuklash orqali ko'p narsalarni qayta nomlash.
DocType: Workflow State,pause,to'xtatib turish
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Ushbu sahifaga kirishga ruxsat yo'q.
DocType: About Us Settings,Website,Veb-sayt
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Ushbu sahifaga kirish uchun siz tizimga kirgan bo'lishingiz kerak
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Izoh: Mobil qurilmada bir nechta sessiyalarga ruxsat beriladi
DocType: DocType,Form Settings,Form sozlamalari
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Ma'lumotni yuklab oling
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Doimiy ravishda {0} yuborilsinmi?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Faylni zaxiralashni yuklash
DocType: Address,County,Tuman
DocType: Workflow,If Checked workflow status will not override status in list view,Belgilangan biznes rivoji holati ro'yxat ko'rinishida holatni bekor qilmaydi
apps/frappe/frappe/client.py,Invalid file path: {0},Noto'g'ri fayl yo'li: {0}
DocType: Workflow State,eye-open,ko'zni oching
DocType: Email Queue,Send After,Keyin jo'nating
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,"Iltimos, faylni yoki urlni tanlang"
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} daraxt
DocType: User,User Emails,Foydalanuvchi e-pochtalari
DocType: User,Username,Foydalanuvchi nomi
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Zipni import qilish
apps/frappe/frappe/model/base_document.py,Value too big,Juda katta qiymat
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Sinov skriptini ishga tushirish
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,Qaysi voqea sinxronlanishi kerak bo'lgan Google Taqvim-ni tanlang.
DocType: Data Import,Total Rows,Umumiy satrlar
DocType: Contact,Department,Bo'lim
DocType: DocField,Options,Tanlovlar
apps/frappe/frappe/client.py,Cannot edit standard fields,Standart maydonlarni tahrirlab bo'lmadi
DocType: Print Format,Print Format Builder,Format formatlash usuli
DocType: GCalendar Account,Calendar Name,Taqvim nomi
DocType: Report,Report Manager,Hisobot menejeri
DocType: Workflow,Document States,Hujjatlar davlatlari
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,Kechirasiz! Qidirayotganingizni topa olmadim.
DocType: Data Migration Run,Logs,Yozuvlar
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,Filtrlarni saqlashda xatolik yuz berdi
DocType: Custom DocPerm,This role update User Permissions for a user,Ushbu rol foydalanuvchi uchun foydalanuvchi ruxsatlarini yangilaydi
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},{0} nomini o'zgartirish
DocType: Workflow State,zoom-out,yiriklashtirish
DocType: Data Import Beta,Import Options,Import parametrlari
apps/frappe/frappe/public/js/frappe/form/form.js,Cannot open {0} when its instance is open,Uning namunasi ochiq bo'lganida {0} ochilmaydi
apps/frappe/frappe/model/document.py,Table {0} cannot be empty,{0} jadvali bo'sh bo'lishi mumkin emas
DocType: SMS Parameter,Parameter,Parametr
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html,Images,Rasmlar
DocType: Activity Log,Reference Owner,Malumot egasi
DocType: Currency,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Eng kichik aylanma fraksiyonlar birligi (tanga). Masalan, AQSh dollari uchun 1 sent va uni 0.01 sifatida kiritish kerak"
DocType: Social Login Key,GitHub,GitHub
apps/frappe/frappe/model/base_document.py,"{0}, Row {1}","{0}, satr {1}"
DocType: DocField,Markdown Editor,Markdown muharriri
apps/frappe/frappe/model/document.py,Beginning with,Boshida
apps/frappe/frappe/core/doctype/data_export/exporter.py,Data Import Template,Ma'lumotlar import qilish jadvali
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,An error occurred while setting Session Defaults,Sessiya standart parametrlarini belgilashda xatolik yuz berdi
apps/frappe/frappe/public/js/frappe/model/model.js,Parent,Ota-onalar
DocType: System Settings,"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Agar yoqilsa, parol kuchi minimal parolni baholash qiymatiga asoslanadi. O'rtacha kuchli 2, 4 esa juda kuchli."
DocType: About Us Settings,"""Team Members"" or ""Management""",&quot;Jamoa a'zolari&quot; yoki &quot;Menejment&quot;
apps/frappe/frappe/core/doctype/doctype/doctype.py,Default for 'Check' type of field must be either '0' or '1',&quot;Nazorat&quot; maydonining turi uchun &quot;0&quot; yoki &quot;1&quot; bo'lishi kerak
apps/frappe/frappe/public/js/frappe/utils/pretty_date.js,Yesterday,Kecha
DocType: Contact,Designation,Belgilar
apps/frappe/frappe/email/doctype/email_account/email_account.py,Automatic Linking can be activated only for one Email Account.,Avtomatik ulanish faqat bitta elektron pochta hisob qaydnomasi uchun faollashtirilishi mumkin.
DocType: Test Runner,Test Runner,Viktorina yuguruvchisi
