apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,පහත සඳහන් යෙදුම් සඳහා නව {} නිකුත් කිරීම් තිබේ
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,කරුණාකර මුදල ක්ෂේත්ර තෝරන්න.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,ආයාත ගොනුව පූරණය වෙමින් ...
DocType: Assignment Rule,Last User,අවසන් පරිශීලකයා
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","නව කාර්ය, {0}, ඔබට {1} විසින් පවරා තිබේ. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,සැසි පෙරනිමි සුරකින ලදි
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,ගොනුව නැවත පූරණය කරන්න
DocType: Email Queue,Email Queue records.,විද්යුත් පෝලිමේ වාර්තා.
DocType: Post,Post,තැපැල්
DocType: Address,Punjab,පන්ජාබ්
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,එය .csv ගොනුව උඩුගත විසින් බොහෝ භාණ්ඩ නැවත නම් කරන්න.
DocType: Workflow State,pause,විරාමයක්
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,ඔබ විසින් මෙම පිටුව වෙත ප්රවේශ වීමට අවසර නැත.
DocType: About Us Settings,Website,වෙබ් අඩවිය
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,ඔබ විසින් මෙම පිටුව වෙත ප්රවේශ වීමට ලොගින් වී කළ යුතු
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,සටහන: බහු සැසි ජංගම උපාංගය වූ අවස්ථාවක ඉඩ කඩ ලබා දෙනු ඇත
DocType: DocType,Form Settings,පෝරම සැකසුම්
apps/frappe/frappe/templates/emails/download_data.html,Download Data,දත්ත බාගන්න
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,ස්ථිරවම {0} ඉදිරිපත්?
