apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Đã có bản phát hành {} mới cho các ứng dụng sau
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Vui lòng chọn một Dòng Số tiền.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Đang tải tệp nhập ...
DocType: Assignment Rule,Last User,Người dùng cuối
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Một nhiệm vụ mới, {0}, đã được {1}. {2} giao cho bạn"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Mặc định phiên đã lưu
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Tải lại tập tin
DocType: Email Queue,Email Queue records.,Hàng chờ bản ghi email
DocType: Post,Post,Bài
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,Đổi tên nhiều mặt hàng bằng cách tải lên một tập tin csv..
DocType: Workflow State,pause,tạm dừng
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Bạn không được phép truy cập vào trang này.
DocType: About Us Settings,Website,Website
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Bạn cần phải đăng nhập để truy cập trang này
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Lưu ý: Nhiều phần sẽ được cho phép trong trường hợp của thiết bị di động
DocType: DocType,Form Settings,Cài đặt biểu mẫu
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Tải xuống dữ liệu
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Gửi vĩnh viễn {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Tải xuống Tệp sao lưu
DocType: Address,County,quận
DocType: Workflow,If Checked workflow status will not override status in list view,Nếu tình trạng công việc đã được kiểm tra sẽ không ghi đè lên trạng thái trong danh sách
apps/frappe/frappe/client.py,Invalid file path: {0},Đường dẫn tập tin không hợp lệ: {0}
DocType: Workflow State,eye-open,mắt mở
DocType: Email Queue,Send After,Gởi Sau
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,Vui lòng chọn một tập tin hoặc url
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} Cây
DocType: User,User Emails,email người sử dụng
DocType: User,Username,Tên đăng nhập
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Nhập Zip
apps/frappe/frappe/model/base_document.py,Value too big,Giá trị quá lớn
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Chạy kiểm tra tập lệnh
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,Chọn Lịch Google để đồng bộ hóa sự kiện.
DocType: Data Import,Total Rows,Tổng số Hàng
DocType: Contact,Department,Cục
DocType: DocField,Options,Tùy chọn
apps/frappe/frappe/client.py,Cannot edit standard fields,Không thể chỉnh sửa các lĩnh vực tiêu chuẩn
DocType: Print Format,Print Format Builder,Định dạng in Builder
DocType: GCalendar Account,Calendar Name,Tên lịch
DocType: Report,Report Manager,Quản lý Báo cáo
DocType: Workflow,Document States,Tài liệu Hoa
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,Xin lỗi! Tôi không thể tìm thấy những gì bạn yêu cầu
DocType: Data Migration Run,Logs,Các đăng nhập
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,Có một bộ lọc lưu lỗi
DocType: Custom DocPerm,This role update User Permissions for a user,Vai trò này Quyền cập nhật người dùng cho một người sử dụng
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},Đổi tên {0}
DocType: Workflow State,zoom-out,Thu nhỏ
DocType: Data Import Beta,Import Options,Tùy chọn nhập
apps/frappe/frappe/public/js/frappe/form/form.js,Cannot open {0} when its instance is open,Không thể mở {0} khi cá thể của nó là mở
apps/frappe/frappe/model/document.py,Table {0} cannot be empty,Bảng {0} không thể để trống
DocType: SMS Parameter,Parameter,Tham số
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html,Images,hình ảnh
DocType: Activity Log,Reference Owner,Chủ đầu tư tham khảo
DocType: Currency,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,Nhỏ nhất đơn vị lưu thông phân số (tiền xu). Đối với ví dụ 1 cent cho USD và nó cần được nhập như 0.01
DocType: Social Login Key,GitHub,GitHub
apps/frappe/frappe/model/base_document.py,"{0}, Row {1}","{0}, dòng {1}"
DocType: DocField,Markdown Editor,Biên tập Markdown
apps/frappe/frappe/model/document.py,Beginning with,bắt đầu bằng
apps/frappe/frappe/core/doctype/data_export/exporter.py,Data Import Template,Mẫu dữ liệu nhập
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,An error occurred while setting Session Defaults,Đã xảy ra lỗi trong khi cài đặt Mặc định phiên
apps/frappe/frappe/public/js/frappe/model/model.js,Parent,Nguồn gốc
apps/frappe/frappe/templates/emails/download_data.html,We have received a request from you to download your {0} data associated with: {1},Chúng tôi đã nhận được yêu cầu từ bạn để tải xuống dữ liệu {0} của bạn được liên kết với: {1}
DocType: System Settings,"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Nếu được bật, độ mạnh của mật khẩu sẽ được thi hành dựa trên giá trị điểm mật khẩu tối thiểu. một giá trị bằng 2 trở nên mạnh ở mức trung bình và bằng 4 là rất mạnh"
DocType: System Settings,"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Nếu được bật, độ mạnh của mật khẩu sẽ được thi hành dựa trên giá trị điểm mật khẩu tối thiểu. một giá trị bằng 2 trở nên mạnh ở mức trung bình và bằng 4 là rất mạnh"
DocType: About Us Settings,"""Team Members"" or ""Management""","""Các Thành Viên Nhóm"" hoặc  ""Ban Quản Lý"""
apps/frappe/frappe/core/doctype/doctype/doctype.py,Default for 'Check' type of field must be either '0' or '1',Mặc định cho loại 'Kiểm tra' của trường phải là '0' hoặc '1'
apps/frappe/frappe/public/js/frappe/utils/pretty_date.js,Yesterday,Hôm qua
DocType: Contact,Designation,Chỉ định
apps/frappe/frappe/email/doctype/email_account/email_account.py,Automatic Linking can be activated only for one Email Account.,Liên kết tự động chỉ có thể được kích hoạt cho một Tài khoản Email.
DocType: Test Runner,Test Runner,chạy thử
DocType: Auto Repeat,Monthly,Hàng tháng
DocType: Address,Uttarakhand,Utttarakhand
