apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Rilis {} baru untuk aplikasi berikut tersedia
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Silakan pilih Bidang Jumlah.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Memuat file impor ...
DocType: Assignment Rule,Last User,Pengguna Terakhir
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Sebuah tugas baru, {0}, telah diberikan kepada Anda oleh {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Default Sesi Disimpan
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Muat Ulang File
DocType: Email Queue,Email Queue records.,Catatan Antrian Surel.
DocType: Post,Post,Post
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,Ubah nama banyak item dengan mengunggah file csv.
DocType: Workflow State,pause,berhenti sebentar
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Anda tidak diizinkan mengakses halaman ini.
DocType: About Us Settings,Website,Situs Web
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Anda harus login untuk mengakses halaman ini
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Catatan: Beberapa sesi akan diizinkan dalam kasus perangkat mobile
DocType: DocType,Form Settings,Pengaturan Formulir
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Unduh Data
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Kirim permanen {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Unduh File Cadangan
DocType: Address,County,daerah
DocType: Workflow,If Checked workflow status will not override status in list view,"Jika dicentang, status alur kerja tidak akan menimpa status di tampilan daftar"
apps/frappe/frappe/client.py,Invalid file path: {0},Path file tidak valid: {0}
DocType: Workflow State,eye-open,eye-terbuka
DocType: Email Queue,Send After,Kirim Setelah
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,Silahkan pilih file atau url
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} Tree
DocType: User,User Emails,Email Pengguna
DocType: User,Username,Nama pengguna
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Impor Zip
apps/frappe/frappe/model/base_document.py,Value too big,Nilai terlalu besar
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Jalankan Script Test
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,Pilih Google Kalender tempat acara harus disinkronkan.
DocType: Data Import,Total Rows,Total Baris
DocType: Contact,Department,Departemen
DocType: DocField,Options,Pilihan
apps/frappe/frappe/client.py,Cannot edit standard fields,Tidak dapat mengedit bidang standar
DocType: Print Format,Print Format Builder,Cetak Format Builder
DocType: GCalendar Account,Calendar Name,Nama Kalender
DocType: Report,Report Manager,Manajer Laporan
DocType: Workflow,Document States,Dokumen Negara
