Connector Type,Tilslutningstype
Provider Name,Navn på leverandør
Name cannot contain special characters like {0},Navn kan ikke indeholde specialtegn som {0}
Enable Gradients,Aktivér gradienter
Default Sort Order,Standard sorteringsordre
Showing only Numeric fields from Report,Viser kun Numeriske felter fra Rapport
folder-open,mappe-åben
Is Table,Er tabel
Unable to open attached file. Did you export it as CSV?,Kan ikke åbne vedhæftet fil. Eksporterede du det som CSV?
No Copy,Ingen kopi
Default Value,Standard værdi
Append To is mandatory for incoming mails,Tilføj til er obligatorisk for indgående mails
Data Migration Mapping Detail,Data Migration Mapping Detail
Unfollow,Følg ikke længere
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.","PDF-udskrivning via &quot;Raw Print&quot; understøttes endnu ikke. Fjern printerkortlægningen i Printerindstillinger, og prøv igen."
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Tjek venligst din registrerede emailadresse for at få vejledning i, hvordan du fortsætter. Luk ikke dette vindue, da du bliver nødt til at vende tilbage til det."
Insert Column Before {0},Indsæt kolonne inden {0}
GCalendar Settings,GCalendar-indstillinger
HTML for header section. Optional,HTML for header sektion. Valgfri
_report,_rapport
Code,Kode
Fraction Units,Fraktionsenheder
Export Customizations,Eksporter tilpasninger
Force,Kraft
User Email,Bruger Email
 Advanced Settings,Avancerede indstillinger
Redirect To,Omdirigere til
Stopped,Holdt op
Google API Credentials,Google API-referencer
Subject,Emne
Revert,Vende tilbage
File backup is ready,Fil backup er klar
Add custom javascript to forms.,Tilføj tilpasset javascript til formularer.
Add custom forms.,Tilføj tilpassede formularer.
This report was generated on {0},Denne rapport blev genereret den {0}
This document has been reverted,Dette dokument er blevet vendt tilbage
Mapping Type,Kortlægningstype
Please select document type first.,Vælg venligst dokumenttype først.
Make use of longer keyboard patterns,Benyt længere tastaturmønstre
Are you sure you want to delete the attachment?,"Er du sikker på, at du vil slette vedhæftet fil?"
ap-southeast-2,ap-sydøst-2
Please verify your Email Address,Bekræft venligst din e-mail-adresse
About Us Settings,Om os Indstillinger
Avoid sequences like abc or 6543 as they are easy to guess,"Undgå sekvenser som abc eller 6543, da de er nemme at gætte"
Insert Below,Indsæt nedenfor
Error in Custom Script,Fejl i Custom Script
Please specify which date field must be checked,Angiv venligst hvilket datafelt der skal kontrolleres
Feedback,Feedback
"Invalid ""depends_on"" expression",Ugyldigt &quot;depends_on&quot; udtryk
Session Expired,Sessionen er udløbet
Sent Read Receipt,Sendt læst kvittering
Tools,Værktøj
Contacts,Kontakter
Document Share Report,Dokumentdelrapport
Filter List,Filter liste
Notification Tones,Meddelelsestoner
You have used up all of the space allotted to you. Please buy more space in your subscription.,Du har brugt hele pladsen tildelt dig. Vær venlig at købe mere plads i dit abonnement.
"Expression, Optional","Udtryk, Valgfri"
Mandatory Information missing:,Obligatoriske oplysninger mangler:
DocType is a Table / Form in the application.,DocType er en tabel / form i ansøgningen.
Primary,Primær
Setup Reports to be emailed at regular intervals,Opsætningsrapporter skal mailes med jævne mellemrum
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.","Du synes at have skrevet dit navn i stedet for din email. \ Indtast venligst en gyldig emailadresse, så vi kan komme tilbage."
Website Settings,Websiteindstillinger
Background Email Queue,Baggrund E-mail-kø
{0} and {1},{0} og {1}
There was an error saving filters,Der opstod en fejl ved at gemme filtre
Enter your password,Skriv dit kodeord
Success! You are good to go ?,Succes! Du er god at gå ?
Cannot delete Home and Attachments folders,Kan ikke slette mapper til hjemmet og vedhæftede filer
Settings for Contact Us Page,Indstillinger for Kontakt os side
Social Login Provider,Social Login Provider
Previous Hash,Forrige Hash
Value Changed,Værdi ændret
Report Type,Rapport Type
Default Address Template cannot be deleted,Standard adresse skabelon kan ikke slettes
Please set script URL on Gsuite Settings,Indstil script-URL på Gsuite-indstillinger
Invalid limit {0},Ugyldig grænse {0}
No of emails remaining to be synced,Ingen af e-mails tilbage til at blive synkroniseret
User ID,bruger ID
Website,Internet side
sa-east-1,sa-øst-1
Notification Recipient,Meddelelsesmodtager
Module,Modul
Address Type,Adressetype
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","Hvis dette er markeret, importeres rækker med gyldige data, og ugyldige rækker bliver dumpet til en ny fil, som du kan importere senere."
Fieldname {0} appears multiple times in rows {1},Feltnavn {0} vises flere gange i rækker {1}
Error Log,Fejllog
Half,Halvt
Home Page,Hjemmeside
Current Mapping Start,Nuværende kortlægningstart
eye-close,eye-close
Assignment closed by {0},Opgave lukket med {0}
Next Date's day and Repeat on Day of Month must be equal,Næste Dato Dag og Gentag på Dag Måned skal være lige
Comments cannot have links or email addresses,Kommentarer kan ikke have links eller e-mail-adresser
Reference Communication,Referencekommunikation
Mandatory:,Obligatorisk:
Setting up your system,Opsætning af dit system
Payment Failed,Betaling mislykkedes
Read,Læs
SSL/TLS Mode,SSL / TLS-tilstand
Print Format Help,Hjælp til udskriftformat
Between,Mellem
Thank you for your interest in subscribing to our updates,Tak for din interesse for at abonnere på vores opdateringer
Full Name,Fulde navn
Allow GCalendar Access,Tillad GCalendar Access
Reset Permissions for {0}?,Nulstill tilladelser for {0}?
Start entering data below this line,Begynd at indtaste data under denne linje
UNSEEN,SES
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,All-store bogstaver er næsten lige så nem at gætte som små bogstaver.
Cannot use sub-query in order by,Kan ikke bruge underforespørgsel i rækkefølge af
Transaction Log Report,Transaktionslograpport
Is Global,Er global
Options Help,Valg Hjælp
Is Sent,Er sendt
Transaction Log,Transaktionslog
eu-west-3,eu-vest-3
Complete Setup,Komplet opsætning
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret er blevet nulstillet. Re-registrering vil blive påkrævet ved næste login.
In List View,I listevisning
Feedback Trigger,Feedback Trigger
Confirm,Bekræfte
Valid email and name required,Gyldig email og navn påkrævet
List of patches executed,Liste over patches udført
Email Queue,E-mail-kø
View Website,Se hjemmeside
Fetch If Empty,Hent Hvis tom
Select,Vælg
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Indtast standardværdier (taster) og værdier. Hvis du tilføjer flere værdier for et felt, bliver den første valgt. Disse standardindstillinger bruges også til at indstille &quot;match&quot; tilladelsesregler. For at se listen over felter, gå til &quot;Tilpas formular&quot;."
Section Heading,Afsnit Rubrik
Avoid dates and years that are associated with you.,"Undgå datoer og år, der er forbundet med dig."
Press Enter to save,Tryk på Enter for at gemme
Reviews,Anmeldelser
State,Stat
Translation,Oversættelse
Columns,Kolonner
Cannot change docstatus from 1 to 0,Kan ikke ændre docstatus fra 1 til 0
