apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Mpya {} iliyotolewa kwa programu zifuatazo zinapatikana
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Tafadhali chagua Shamba Kikubwa.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Inapakia faili ya kuingiza ...
DocType: Assignment Rule,Last User,Mtumiaji wa Mwisho
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Kazi mpya, {0}, imepewa kwako kwa {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Kufaulu kwa Kikao
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Pakia tena Picha
DocType: Email Queue,Email Queue records.,Rekodi za foleni ya Barua pepe.
DocType: Post,Post,Chapisho
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,Reja vitu vingi kwa kupakia faili ya .csv.
DocType: Workflow State,pause,pumzika
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Huruhusiwi kufikia ukurasa huu.
DocType: About Us Settings,Website,Tovuti
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Unahitaji kuingia ili kufikia ukurasa huu
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Kumbuka: Vikao vingi vinaruhusiwa katika kesi ya kifaa cha simu
DocType: DocType,Form Settings,Mipangilio ya Fomu
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Pakua data
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Kuwasilisha kwa kudumu {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Pakua Backup ya Files
DocType: Address,County,Kata
DocType: Workflow,If Checked workflow status will not override status in list view,Ikiwa hali ya kazi ya Checked haifanyiri hali katika mtazamo wa orodha
apps/frappe/frappe/client.py,Invalid file path: {0},Njia ya faili batili: {0}
DocType: Workflow State,eye-open,jicho-wazi
DocType: Email Queue,Send After,Tuma baada
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,Tafadhali chagua faili au url
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} Miti
DocType: User,User Emails,Emails ya Mtumiaji
DocType: User,Username,Jina la mtumiaji
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Ingiza Zip
apps/frappe/frappe/model/base_document.py,Value too big,Thamani kubwa sana
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Tumia mtihani wa script
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,Chagua Kalenda ya Google ambayo tukio linapaswa kusawazishwa.
DocType: Data Import,Total Rows,Jumla ya mistari
DocType: Contact,Department,Idara
DocType: DocField,Options,Chaguo
apps/frappe/frappe/client.py,Cannot edit standard fields,Haiwezi kuhariri mashamba
DocType: Print Format,Print Format Builder,Muundo wa Wajumbe wa Kuchapa
DocType: GCalendar Account,Calendar Name,Jina la Kalenda
DocType: Report,Report Manager,Meneja wa Ripoti
DocType: Workflow,Document States,Nyaraka za Hati
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,Samahani! Sikuweza kupata unachotafuta.
DocType: Data Migration Run,Logs,Vitambulisho
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,Kulikuwa na hitilafu wakati wa kuokoa vichungi
DocType: Custom DocPerm,This role update User Permissions for a user,Jukumu hili la kuruhusu Ruhusa ya Mtumiaji kwa mtumiaji
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},Badilisha tena {0}
DocType: Workflow State,zoom-out,zoom-out
DocType: Data Import Beta,Import Options,Chaguzi za kuagiza
apps/frappe/frappe/public/js/frappe/form/form.js,Cannot open {0} when its instance is open,Haiwezi kufungua {0} wakati mfano wake ulipo wazi
apps/frappe/frappe/model/document.py,Table {0} cannot be empty,Jedwali {0} haiwezi kuwa tupu
DocType: SMS Parameter,Parameter,Kipimo
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html,Images,Picha
DocType: Activity Log,Reference Owner,Mmiliki wa Kumbukumbu
