Connector Type,Typ konektora
Provider Name,Názov poskytovateľa
Name cannot contain special characters like {0},Meno nemôže obsahovať špeciálne znaky ako {0}
Enable Gradients,Povoliť prechody
Default Sort Order,Predvolené poradie triedenia
Showing only Numeric fields from Report,Zobrazujú sa iba číselné polia zo zostavy
folder-open,Zložka-open
Is Table,Je tabuľka
Unable to open attached file. Did you export it as CSV?,Nepodarilo sa otvoriť pripojený súbor. Exportovali ste ho ako CSV?
No Copy,Žiadna kópia
Default Value,Predvolená hodnota
Append To is mandatory for incoming mails,Aplikácia Pridať je povinná pre prichádzajúce e-maily
Data Migration Mapping Detail,Podrobnosti mapovania migrácie údajov
Unfollow,nesledovať
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",Tlač PDF cez &quot;Raw Print&quot; ešte nie je podporovaná. Odstráňte mapovanie tlačiarne v časti Nastavenia tlačiarne a skúste to znova.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Pokyny na pokračovanie nájdete v registrovanej e-mailovej adrese. Nezatvárajte toto okno, pretože sa k nemu budete musieť vrátiť."
Insert Column Before {0},Vložiť stĺpec pred {0}
GCalendar Settings,Nastavenia služby GCalendar
HTML for header section. Optional,HTML pre sekciu hlavičky. voliteľný
_report,_správa
Code,kód
Fraction Units,Frakčné jednotky
Export Customizations,Exportujte prispôsobenia
Force,sila
Setup &gt; User Permissions,Nastavenie&gt; Povolenia používateľa
User Email,E-mail používateľa
 Advanced Settings,Pokročilé nastavenia
Redirect To,Presmerovať na
Stopped,zastavený
Google API Credentials,Poverenia API rozhrania Google
Subject,predmet
Revert,Prejsť späť
File backup is ready,Zálohovanie súborov je pripravené
Add custom javascript to forms.,Pridať vlastné javascript do formulárov.
Add custom forms.,Pridať vlastné formuláre.
This report was generated on {0},Tento prehľad bol vygenerovaný dňa {0}
This document has been reverted,Tento dokument bol vrátený
Mapping Type,Typ mapovania
Please select document type first.,Najprv vyberte typ dokumentu.
Make use of longer keyboard patterns,Využite dlhšie vzory klávesnice
Are you sure you want to delete the attachment?,Naozaj chcete odstrániť prílohu?
ap-southeast-2,AP-juhovýchodnej-2
Please verify your Email Address,Overte svoju e-mailovú adresu
About Us Settings,O nás Nastavenia
Avoid sequences like abc or 6543 as they are easy to guess,"Vyhnite sa sekvenciám ako abc alebo 6543, pretože sa dajú ľahko uhádnuť"
Email Account not setup. Please create a new Email Account from Setup &gt; Email &gt; Email Account,E-mailový účet nie je nastavený. Vytvorte nový e-mailový účet z ponuky Nastavenie&gt; E-mail&gt; E-mailový účet
Insert Below,Vložiť nižšie
Error in Custom Script,Chyba vo vlastnom skripte
Please specify which date field must be checked,"Uveďte, ktoré pole dátumu sa musí skontrolovať"
Feedback,spätná väzba
"Invalid ""depends_on"" expression",Neplatný výraz „depend_on“
Session Expired,Platnosť relácie vypršala
Sent Read Receipt,Odoslané prevzaté čítanie
Tools,náradie
Contacts,kontakty
Document Share Report,Správa o zdieľaní dokumentov
Filter List,Zoznam filtrov
Notification Tones,Notifikačné tóny
You have used up all of the space allotted to you. Please buy more space in your subscription.,"Využili ste všetok priestor, ktorý vám bol pridelený. Prosím, kúpte si viac miesta vo vašom predplatnom."
"Expression, Optional","Výraz, voliteľné"
Mandatory Information missing:,Chýbajúce povinné informácie:
DocType is a Table / Form in the application.,DocType je tabuľka / formulár v aplikácii.
Primary,Primárny
Setup Reports to be emailed at regular intervals,"Nastavenie Hlásenia, ktoré sa majú odosielať v pravidelných intervaloch"
