DocType: Data Migration Connector,Connector Type,የተያያዥ አይነት
DocType: Social Login Key,Provider Name,የአቅራቢ ስም
apps/frappe/frappe/model/naming.py,Name cannot contain special characters like {0},ስም እንደ {0} ያሉ ልዩ ቁምፊዎችን መያዝ አይችልም
apps/frappe/frappe/website/doctype/website_theme/website_theme.js,Enable Gradients,ቀስቀዮችን አንቃ
DocType: DocType,Default Sort Order,ነባሪ ትዕዛዝ አደራደር
apps/frappe/frappe/core/doctype/file/file.py,URL must start with 'http://' or 'https://',URL በ «http: //» ወይም በ «https: //» መጀመር አለበት
apps/frappe/frappe/public/js/frappe/views/reports/report_view.js,Showing only Numeric fields from Report,ከሪፖርት ብቻ የቁጥር መስኮችን ብቻ በማሳየት ላይ
apps/frappe/frappe/public/js/frappe/ui/keyboard.js,Press Alt Key to trigger additional shortcuts in Menu and Sidebar,ምናሌ እና የጎን አሞሌ ውስጥ ተጨማሪ አቋራጮችን ለማስነሳት Alt ቁልፍን ይጫኑ
DocType: Workflow State,folder-open,አቃፊ-ክፍት
DocType: Customize Form,Is Table,ሰንጠረዥ ነው
apps/frappe/frappe/utils/csvutils.py,Unable to open attached file. Did you export it as CSV?,የተያያዘውን ፋይል መክፈት አልተቻለም. እንደ CSV ወደውከው ነው?
DocType: DocField,No Copy,ምንም ቅጂ የለም
DocType: Custom Field,Default Value,ነባሪ እሴት
apps/frappe/frappe/email/doctype/email_account/email_account.py,Append To is mandatory for incoming mails,ለገቢ መልእክቶች ተገዢ መሆን ግዴታ ነው
apps/frappe/frappe/integrations/doctype/google_contacts/google_contacts.js,Sync Contacts,እውቂያዎችን አመሳስል
DocType: Data Migration Mapping Detail,Data Migration Mapping Detail,የውሂብ ጎዳና ማዛመጃ ዝርዝር
apps/frappe/frappe/public/js/frappe/form/templates/form_sidebar.html,Unfollow,አለመከተል
apps/frappe/frappe/public/js/frappe/form/print.js,"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",በ &quot;ቀጥታ እትም&quot; በኩል የፒ.ዲ. ማተም ገና አይደገፍም. እባክዎ በአታሚ ቅንብሮች ውስጥ የአታሚውን ማዘጋጃ ያስወግዱ እና እንደገና ይሞክሩ.
apps/frappe/frappe/twofactor.py,Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,እንዴት መቀጠል እንደሚችሉ መመሪያ ለማግኘት እባክዎ የተመዘገበዎትን የኢሜይል አድራሻ ያረጋግጡ. ወደ እርስዎ ለመመለስ እንዲችሉ ይህን መስኮት አይዝጉት.
apps/frappe/frappe/public/js/frappe/views/reports/report_view.js,Insert Column Before {0},አምድ ከ {0} በፊት
DocType: GCalendar Settings,GCalendar Settings,የ GCalendar ቅንብሮች
DocType: Web Page,HTML for header section. Optional,ኤችቲኤምኤል ለአርዕስት ክፍል. አማራጭ
DocType: Desktop Icon,_report,_ ሪፖርት
DocType: DocField,Code,ኮድ
DocType: Currency,Fraction Units,ክፍልፋዮች
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js,Export Customizations,ብጁዎችን ወደውጪ ላክ
DocType: OAuth Provider Settings,Force,ኃይል
DocType: User Email,User Email,የተጠቃሚ ኢሜይል
DocType: OAuth Client, Advanced Settings,የላቁ ቅንብሮች
DocType: PayPal Settings,Redirect To,ወደዚህ አዙር
DocType: Auto Repeat,Stopped,ተቆልፏል
DocType: GCalendar Settings,Google API Credentials,የ Google ኤ ፒ አይ ምስክርነቶች
DocType: Activity Log,Subject,ርዕሰ ጉዳይ
DocType: Energy Point Log,Revert,አድህር
apps/frappe/frappe/desk/page/backups/backups.py,File backup is ready,የፋይል መጠባበቂያ ዝግጁ ነው
apps/frappe/frappe/config/customization.py,Add custom javascript to forms.,ወደ ቅጾች ብጁ ጃቫስክሪፕት ያክሉ.
apps/frappe/frappe/config/customization.py,Add custom forms.,ብጁ ቅጾችን አክል.
apps/frappe/frappe/templates/emails/auto_email_report.html,This report was generated on {0},ይህ ሪፖርት በ {0} ላይ
apps/frappe/frappe/social/doctype/energy_point_log/energy_point_log.js,This document has been reverted,ይህ ሰነድ እንደገና ተቀይሯል
DocType: Data Migration Mapping,Mapping Type,የካርታ አይነት
apps/frappe/frappe/core/doctype/data_import/data_import.js,Please select document type first.,እባክዎ መጀመሪያ የሰነድ ዓይነቱን ይምረጡ.
apps/frappe/frappe/utils/password_strength.py,Make use of longer keyboard patterns,ረዘም ያለ የቁልፍ ሰሌዳ ቅጦችን ይጠቀሙ
apps/frappe/frappe/public/js/frappe/form/sidebar/attachments.js,Are you sure you want to delete the attachment?,ዓባሪውን ለመሰረዝ በእርግጥ ይፈልጋሉ?
DocType: S3 Backup Settings,ap-southeast-2,ap-south-east-2
apps/frappe/frappe/email/doctype/newsletter/newsletter.py,Please verify your Email Address,እባክዎ የኢሜይል አድራሻዎን ያረጋግጡ
DocType: About Us Settings,About Us Settings,ስለ እኛ ቅንጅቶች
apps/frappe/frappe/utils/password_strength.py,Avoid sequences like abc or 6543 as they are easy to guess,ለመገመት ቀላል ስለሆነ እንደ abc ወይም 6543 ቅደም ተከተል ማስወገድ
apps/frappe/frappe/public/js/frappe/form/grid_row_form.js,Insert Below,ከታች አስገባ
apps/frappe/frappe/public/js/frappe/form/script_manager.js,Error in Custom Script,በብጁ ስክሪፕት ውስጥ ስህተት
apps/frappe/frappe/email/doctype/notification/notification.py,Please specify which date field must be checked,እባክዎን የትኛው የቀን መስክ መረጋገጥ እንዳለበት ይግለጹ
DocType: Communication,Feedback,ግብረመልስ
apps/frappe/frappe/public/js/frappe/form/layout.js,"Invalid ""depends_on"" expression",ልክ ያልሆነ «የተደገፈ_ን» መግለጫ
apps/frappe/frappe/public/js/frappe/desk.js,Session Expired,ክፍለ ጊዜው ጊዜ አልፎበታል
DocType: Communication,Sent Read Receipt,የተላከውን ደረሰኝ ላክ
apps/frappe/frappe/config/desktop.py,Tools,መሳሪያዎች
DocType: Address,Contacts,እውቂያዎች
,Document Share Report,ሰነድ አጋራ ሪፖርት
DocType: Data Export,Filter List,የማጣሪያ ዝርዝር
DocType: Chat Profile,Notification Tones,የማሳወቂያ ድምጽ
apps/frappe/frappe/core/page/usage_info/usage_info.js,You have used up all of the space allotted to you. Please buy more space in your subscription.,ለእርስዎ የተሰጥዎትን ቦታ ሁሉ ተጠቅመዋል. በእርስዎ ምዝገባ ላይ ተጨማሪ ቦታ ይግዙ.
DocType: Notification Recipient,"Expression, Optional","መግለጫ, አማራጭ"
apps/frappe/frappe/website/doctype/web_form/web_form.py,Mandatory Information missing:,አስገዳጅ ያልሆነ መረጃ:
DocType: DocType,DocType is a Table / Form in the application.,DocType በመተግበሪያው ውስጥ ሰንጠረዥ / ቅፅል ነው.
DocType: Workflow State,Primary,ዋናው
apps/frappe/frappe/config/settings.py,Setup Reports to be emailed at regular intervals,ሪፖርቶችን በመደበኛ ልዩነት በኢሜይል እንዲላክ ያዘጋጁ
apps/frappe/frappe/templates/includes/contact.js,"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",ከኢሜልዎ ይልቅ ስምዎን የፃፉ ይመስላል. \ እባክዎ መልሰን ለማግኘት እንድንችል ትክክለኛ የኢሜይል አድራሻ ያስገቡ.
DocType: Website Settings,Website Settings,የድር ጣቢያ ቅንብሮች
apps/frappe/frappe/config/core.py,Background Email Queue,የጀርባ ኢሜይል ወረፋ
apps/frappe/frappe/utils/data.py,{0} and {1},{0} እና {1}
