Connector Type,Liittimen tyyppi
Provider Name,Palveluntarjoajan nimi
Name cannot contain special characters like {0},"Nimi ei voi sisältää erikoismerkkejä, kuten {0}"
Enable Gradients,Ota kaltevuudet käyttöön
Default Sort Order,Oletusluokitusjärjestys
Showing only Numeric fields from Report,Näytetään vain Numeeriset kentät raportista
folder-open,kansio auki
Is Table,Onko taulukko
Unable to open attached file. Did you export it as CSV?,Liitetyn tiedoston avaaminen ei onnistu. Vientitkö sen CSV: nä?
No Copy,Ei kopiota
Default Value,Oletusarvo
Append To is mandatory for incoming mails,Liitä kohteeseen on pakollinen saapuville sähköpostiviesteille
Data Migration Mapping Detail,Data Migration Mapping Detail
Unfollow,Älä
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",PDF-tulostusta &quot;raakatulostuksen&quot; kautta ei ole vielä tuettu. Poista tulostimen kartoitus tulostinasetuksista ja yritä uudelleen.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Tarkista rekisteröidyn sähköpostiosoitteesi ohjeet siitä, miten voit jatkaa. Älä sulje tätä ikkunaa, koska sinun täytyy palata siihen."
Insert Column Before {0},Lisää sarake ennen {0}
GCalendar Settings,GCalendar-asetukset
HTML for header section. Optional,HTML otsikkoriville. Valinnainen
_report,_report
Code,Koodi
Fraction Units,Fraktioyksiköt
Export Customizations,Vie mukautukset
Force,Pakottaa
User Email,Käyttäjän sähköposti
 Advanced Settings,Lisäasetukset
Redirect To,Ohjaa kohteeseen
Stopped,pysäytetty
Google API Credentials,Googlen API-tunnistetiedot
Subject,aihe
Revert,palautua
File backup is ready,Tiedoston varmuuskopiointi on valmis
Add custom javascript to forms.,Lisää muokattua javascriptiä lomakkeisiin.
Add custom forms.,Lisää mukautettuja lomakkeita.
This report was generated on {0},Tämä raportti on luotu {0}
This document has been reverted,Tämä asiakirja on palautettu
Mapping Type,Karttatyyppi
Please select document type first.,Valitse ensin asiakirjan tyyppi.
Make use of longer keyboard patterns,Käytä pidempiä näppäimistömalleja
