apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Νέες {} κυκλοφορίες για τις ακόλουθες εφαρμογές είναι διαθέσιμες
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Επιλέξτε ένα ποσό πεδίο.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Φόρτωση αρχείου εισαγωγής ...
DocType: Assignment Rule,Last User,Τελευταίος χρήστης
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Μια νέα εργασία, {0}, έχει ανατεθεί σε εσάς από {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Οι προεπιλεγμένες ρυθμίσεις συνόδου αποθηκεύτηκαν
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Επαναφόρτωση αρχείου
DocType: Email Queue,Email Queue records.,αρχεία ηλεκτρονικού ταχυδρομείου ουρά.
DocType: Post,Post,Δημοσίευση
DocType: Address,Punjab,Πουντζάμπ
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,Μετονομασία πολλών αντικειμένων με αποστολή στο διακομιστή ενός αρχείου csv . .
DocType: Workflow State,pause,Παύση
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Δεν σας επιτρέπεται η πρόσβαση σε αυτήν τη σελίδα.
DocType: About Us Settings,Website,Δικτυακός τόπος
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Θα πρέπει να συνδεθείτε για να αποκτήσετε πρόσβαση σε αυτήν τη σελίδα
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Σημείωση: Πολλαπλές συνεδρίες θα επιτρέπεται στην περίπτωση της κινητής συσκευής
DocType: DocType,Form Settings,Ρυθμίσεις φόρμας
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Λήψη δεδομένων
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Μόνιμα Υποβολή {0} ;
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Λήψη αντιγράφων αρχείων
DocType: Address,County,Κομητεία
