Connector Type,Цоннецтор Типе
Provider Name,Име провајдера
Name cannot contain special characters like {0},Име не може да садржи специјалне знакове као {0}
Enable Gradients,Омогући градијенте
Default Sort Order,Дефаулт Сорт Сорт
Showing only Numeric fields from Report,Приказивање само нумеричких поља из извештаја
folder-open,фолдер-опен
Is Table,Ис Табле
Unable to open attached file. Did you export it as CSV?,Није могуће отворити приложену датотеку. Да ли сте га извезли као ЦСВ?
No Copy,Но Цопи
Default Value,Задана вриједност
Append To is mandatory for incoming mails,Аппенд То је обавезно за долазне поруке
Data Migration Mapping Detail,Детаљ пресликавања података
Unfollow,Унфоллов
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",ПДФ штампање путем &quot;Рав Принт&quot; још није подржано. Уклоните мапирање штампача у Принтер Сеттингс и покушајте поново.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,Молимо вас да проверите вашу регистровану адресу е-поште за упутства о томе како да наставите. Не затварајте овај прозор јер ћете се морати вратити на њега.
Insert Column Before {0},Уметни колону пре {0}
GCalendar Settings,ГЦалендар Сеттингс
HTML for header section. Optional,ХТМЛ за заглавље. Опционо
_report,_извештај
Code,Код
Fraction Units,Фрацтион Унитс
Export Customizations,Извоз прилагођавања
Force,Сила
User Email,Емаил корисника
 Advanced Settings,Напредна подешавања
Redirect To,Редирецт То
Stopped,Стоппед
Google API Credentials,Гоогле АПИ акредитиви
Subject,Субјецт
Revert,Вратити се
File backup is ready,Бацкуп датотека је спреман
Add custom javascript to forms.,Додајте прилагођени јавасцрипт за обрасце.
Add custom forms.,Додајте прилагођене обрасце.
This report was generated on {0},Овај извештај је генерисан {0}
This document has been reverted,Овај документ је враћен
Mapping Type,Маппинг Типе
Please select document type first.,Прво изаберите тип документа.
Make use of longer keyboard patterns,Искористите дуже обрасце тастатуре
Are you sure you want to delete the attachment?,Јесте ли сигурни да желите обрисати привитак?
ap-southeast-2,ап-југоисток-2
Please verify your Email Address,Потврдите своју адресу е-поште
About Us Settings,О нама Подешавања
Avoid sequences like abc or 6543 as they are easy to guess,Избегавајте секвенце као што су абц или 6543 јер их је лако погодити
Insert Below,Инсерт Белов
Error in Custom Script,Грешка у прилагођеном скрипту
Please specify which date field must be checked,Наведите које поље датума мора бити означено
Feedback,Повратна информација
"Invalid ""depends_on"" expression",Неважећи израз &quot;депенд_он&quot;
Session Expired,Сесија је истекла
Sent Read Receipt,Сент Реад Рецеипт
Tools,Алати
Contacts,Контакти
Document Share Report,Репорт Схаре Репорт
Filter List,Листа филтера
Notification Tones,Тонови обавештења
You have used up all of the space allotted to you. Please buy more space in your subscription.,Искористили сте сав простор који вам је додељен. Купите више простора у својој претплати.
"Expression, Optional","Израз, опционално"
Mandatory Information missing:,Недостаје обавезна информација:
DocType is a Table / Form in the application.,ДоцТипе је табела / форма у апликацији.
Primary,Примарни
Setup Reports to be emailed at regular intervals,Извештаји о поставкама се шаљу у редовним интервалима
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",Изгледа да сте написали своје име уместо ваше е-поште. Унесите важећу адресу е-поште како бисмо се могли вратити.
Website Settings,Подешавања Веб локације
Background Email Queue,Редослед позадине е-поште
{0} and {1},{0} и {1}
There was an error saving filters,Дошло је до грешке приликом чувања филтера
Enter your password,Унесите лозинку
Success! You are good to go ?,Успјех! Добро сте ићи ?
Cannot delete Home and Attachments folders,Није могуће избрисати фасцикле Хоме и Аттацхментс
Settings for Contact Us Page,Подешавања за контакт страницу
Social Login Provider,Социал Логин Провидер
Previous Hash,Превиоус Хасх
Value Changed,Промењена вредност
Report Type,Тип извештаја
Default Address Template cannot be deleted,Подразумевани предложак адресе не може се избрисати
Please set script URL on Gsuite Settings,Поставите УРЛ скрипте на Гсуите поставке
Invalid limit {0},Неважећа граница {0}
No of emails remaining to be synced,Нема преосталих порука за синхронизацију
User ID,ИД корисник
Website,Веб сајт
sa-east-1,са-исток-1
Notification Recipient,Прималац обавештења
Module,Модул
Address Type,Аддресс Типе
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","Ако је ово означено, редови са важећим подацима ће бити увезени, а неважећи редови биће одбачени у нову датотеку да бисте касније могли да их увезете."
Fieldname {0} appears multiple times in rows {1},Име поља {0} се појављује више пута у редовима {1}
Error Log,Еррор Лог
Half,Пола
Home Page,Почетна страница
Current Mapping Start,Покретање тренутног мапирања
eye-close,око-близу
Assignment closed by {0},Додјела је затворена за {0}
Next Date's day and Repeat on Day of Month must be equal,Дан наредног дана и понављање на дан у мјесецу морају бити једнаки
