apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,নিম্নলিখিত অ্যাপ্লিকেশনের জন্য নতুন {} রিলিজ পাওয়া যায়
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,একটি পরিমাণ ক্ষেত্র নির্বাচন করুন.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,আমদানি ফাইল লোড হচ্ছে ...
DocType: Assignment Rule,Last User,শেষ ব্যবহারকারী
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","একটি নতুন টাস্ক, {0}, {1} দ্বারা আপনার জন্য নির্দিষ্ট করা হয়েছে. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,সেশন ডিফল্ট সংরক্ষণ করা হয়েছে
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,ফাইলটি পুনরায় লোড করুন
DocType: Email Queue,Email Queue records.,ইমেল সারি রেকর্ড.
DocType: Post,Post,পোস্ট
DocType: Address,Punjab,পাঞ্জাব
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,একটি CSV ফাইল আপলোড করে অনেক জিনিস নামান্তর.
DocType: Workflow State,pause,বিরতি
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,আপনি এই পৃষ্ঠাটি অ্যাক্সেস করার অনুমতি নেই.
DocType: About Us Settings,Website,ওয়েবসাইট
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,আপনি এই পৃষ্ঠায় যাওয়ার জন্য লগ ইন করতে হবে
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,নোট: একাধিক সেশন মোবাইল ডিভাইস এর ক্ষেত্রে অনুমতি দেওয়া হবে
DocType: DocType,Form Settings,ফর্ম সেটিংস
apps/frappe/frappe/templates/emails/download_data.html,Download Data,ডাউনলোড ডেটা
