Connector Type,connector အမျိုးအစား
Provider Name,provider အမည်
Name cannot contain special characters like {0},အမည် {0} တူသောအထူးအက္ခရာများဆံ့မခံနိုင်သည်
Enable Gradients,gradient Enable
Default Sort Order,default စီအမိန့်
Showing only Numeric fields from Report,အစီရင်ခံစာထဲကနေမှသာကိန်းဂဏန်းလယ်ကွင်းဖေါ်ပြသည်
folder-open,folder ကို-ပွင့်လင်း
Is Table,စားပွဲတင် Is
Unable to open attached file. Did you export it as CSV?,ပူးတွဲဖိုင်ဖွင့်နိုင်ဘူး။ သငျသညျ CSV ဖိုင်အဖြစ်တင်ပို့ခဲ့သလား
No Copy,အဘယ်သူမျှမကူးပါ
Default Value,မူလတန်ဖိုး
Append To is mandatory for incoming mails,ဖြည့်စွက်ရန်အဝင်မေးလ်တွေအတွက်မဖြစ်မနေဖြစ်ပါသည်
Data Migration Mapping Detail,ဒေတာကိုရွှေ့ပြောင်းမြေပုံအသေးစိတ်
Unfollow,လိုက်အောင်
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",&quot;ရော်ပုံနှိပ်ပါ&quot; မှတဆင့် PDF ကိုပုံနှိပ်ခြင်းမရှိသေးပါမပံ့ပိုးပါ။ ပရင်တာက Settings ထဲမှာပရင်တာမြေပုံဖယ်ရှားထပ်ကြိုးစားပါ။
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,ရှေ့ဆက်ဖို့ဘယ်လိုညွှန်ကြားချက်အဘို့သင့်မှတ်ပုံတင်ထားသောအီးမေးလ်လိပ်စာကိုစစ်ဆေးပါ။ သင်ကပြန်သွားဖို့ရှိသည်လိမ့်မယ်အဖြစ်ကဒီဝင်းဒိုးကိုပိတ်လိုက်မထားပါနဲ့။
Insert Column Before {0},{0} ခင်မှာကော်လံထည့်ပါ
GCalendar Settings,GCalendar Settings များ
HTML for header section. Optional,ခေါင်းစဉ်အပိုင်းများအတွက် HTML ကို။ optional
_report,_report
Code,ကုဒ်
Fraction Units,အစိတ်အပိုင်းယူနစ်
Export Customizations,ပို့ကုန် Custom
Force,အင်အားစု
User Email,အသုံးပြုသူအီးမေးလ်
 Advanced Settings,အဆင့်မြင့်ချိန်ညှိမှုများ
Redirect To,ရန် redirect
Stopped,ရပ်တန့်
Google API Credentials,Google က API ကိုသံတမန်ဆောင်ဧည်
Subject,ဘာသာရပ်
Revert,နောက်ပြန်
File backup is ready,file ကို backup လုပ်ထားအဆင်သင့်ဖြစ်ပြီ
Add custom javascript to forms.,ပုံစံများမှထုံးစံ javascript ထည့်ပါ။
Add custom forms.,ထုံးစံပုံစံများကိုထည့်ပါ။
This report was generated on {0},ဤအစီရင်ခံစာ {0} အပေါ်ထုတ်လုပ်လိုက်တဲ့ခဲ့သည်
This document has been reverted,ဤစာရွက်စာတမ်းမူလထားသည်
Mapping Type,မြေပုံအမျိုးအစား
Please select document type first.,ပထမဦးဆုံး Document အမျိုးအစားကိုရွေးချယ်ပါ။
Make use of longer keyboard patterns,ကြာကြာကီးဘုတ်ပုံစံများအသုံးပြုခြင်းကို Make
Are you sure you want to delete the attachment?,သငျသညျပူးတွဲဖျက်ပစ်ချင်တာသေချာလား?
ap-southeast-2,AP-အရှေ့တောင်ဘက်-2
Please verify your Email Address,သင့်ရဲ့အီးမေးလ်လိပ်စာအတည်ပြုရန် ကျေးဇူးပြု.
About Us Settings,ကြှနျုပျတို့ကိုချိန်ညှိမှုများအကြောင်း
Avoid sequences like abc or 6543 as they are easy to guess,သူတို့ခန့်မှန်းရန်မလွယ်ကူကြောင်း abc သို့မဟုတ် 6543 ကဲ့သို့အပာရှောင်ကြဉ်ပါ
Insert Below,အောက်တွင်ထည့်ပါ
Error in Custom Script,စိတ်တိုင်းကျ Script ထဲမှာမှားယွင်းနေသည်
Please specify which date field must be checked,လယ်ပြင် check လုပ်ထားရမည်ဖြစ်သည့်ရက်စွဲကိုသတ်မှတ်ပေးပါ
Feedback,တုံ့ပြန်ချက်
"Invalid ""depends_on"" expression",မှားနေသော &quot;depends_on&quot; ဟူသောအသုံးအနှုနျး
Session Expired,session Expired
Sent Read Receipt,Sent ဖတ်ငွေလက်ခံပြေစာ
Tools,Tools များ
Contacts,ဆက်သွယ်ရန်
Document Share Report,စာရွက်စာတမ်းဝေမျှမယ်အစီရင်ခံစာ
Filter List,filter များစာရင်း
Notification Tones,သတိပေးချက် Tone
You have used up all of the space allotted to you. Please buy more space in your subscription.,သင်ရိတ်က္ခာအာကာသအပေါငျးတို့သထအသုံးပြုခဲ့ကြသည်။ သင်၏စာရင်းပေးသွင်းမှုကိုပိုမိုအာကာသကိုဝယ်ပေးပါ။
"Expression, Optional","expression, Optional"
Mandatory Information missing:,မသင်မနေရပြန်ကြားရေးပျောက်ဆုံး:
DocType is a Table / Form in the application.,DOCTYPE လျှောက်လွှာထဲမှာစားပွဲတင် / Form ကိုဖြစ်ပါတယ်။
Primary,မူလတန်း
Setup Reports to be emailed at regular intervals,ပုံမှန်ကြားကာလမှာမေးလ်ပို့ပေးခံရဖို့ Setup ကိုအစီရင်ခံစာများ
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",သငျသညျအစားသင့်ရဲ့အီးမေးလ်ကိုသင်၏နာမကိုအမှီရေးထားပြီပုံရသည်။ ကျနော်တို့ပြန်ရနိုင်အောင် \ မှန်ကန်သော email address ကိုရိုက်ထည့်ပေးပါ။
Website Settings,ဝက်ဘ်ဆိုက်က Settings
Background Email Queue,နောက်ခံသမိုင်းအီးမေးလ်တန်းစီ
{0} and {1},{0} နှင့် {1}
There was an error saving filters,Filter ကိုချွေတာမှားယွင်းမှုတစ်ခုရှိခဲ့သည်
Enter your password,သင့်ရဲ့စကားဝှက်ကိုရိုက်ထည့်ပါ
Success! You are good to go ?,အောင်မြင်ပါသည်! သငျသညျသှားဖို့ကောင်းပါတယ်?
Cannot delete Home and Attachments folders,Home နဲ့ပူးတွဲပါဖိုင်တွဲများမဖျက်နိုင်ပါ
Settings for Contact Us Page,ကြှနျုပျတို့ကိုဆကျသှယျရနျစာမျက်နှာအတွက်ဆက်တင်များ
Social Login Provider,လူမှုဝင်မည်ပေးသူ
Previous Hash,ယခင် Hash
Value Changed,value ကိုပြောင်းလဲ
Report Type,အစီရင်ခံစာအမျိုးအစား
Default Address Template cannot be deleted,default လိပ်စာ Template ကိုဖျက်ပစ်ရနိုင်မှာမဟုတ်ဘူး
Please set script URL on Gsuite Settings,Gsuite Settings ကို script ကို URL ကိုသတ်မှတ်ပေးပါ
Invalid limit {0},မှားနေသောန့်သတ်ချက် {0}
No of emails remaining to be synced,အီးမေးလ်များကိုအဘယ်သူမျှမတစ်ပြိုင်တည်းချိန်ကိုက်ခံရဖို့ကျန်ရှိ
User ID,သုံးစွဲသူအိုင်ဒီ
Website,ဝက်ဘ်ဆိုက်
sa-east-1,sa-အရှေ့-1
Notification Recipient,သတိပေးချက်လက်ခံသူ
Module,module
Address Type,လိပ်စာအမျိုးအစား
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.",ဒီ check လုပ်ထားလျှင်ခိုင်လုံသောဒေတာနှင့်အတူတန်းစီတင်သွင်းမည်ဖြစ်ပြီးမမှန်ကန်တဲ့အတန်းကိုသင်နောက်ပိုင်းတွင်တင်သွင်းဖို့အတှကျဖိုင်အသစ်တစ်ခုသို့စွန့်ပစ်လိမ့်မည်။
