apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Ir pieejamas jaunas {} izlaidumi šādām lietotnēm
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,"Lūdzu, izvēlieties laukam."
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Notiek importa faila ielāde ...
DocType: Assignment Rule,Last User,Pēdējais lietotājs
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Jaunais uzdevums, {0}, ir piešķirts jums ar {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Sesijas noklusējumi ir saglabāti
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Atkārtoti ielādēt failu
DocType: Email Queue,Email Queue records.,Email Rindas ieraksti.
DocType: Post,Post,Amats
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,"Pārdēvēt daudz priekšmetus, augšupielādējot .csv failu."
DocType: Workflow State,pause,pauze
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Jums nav atļauts piekļūt šai lapai.
DocType: About Us Settings,Website,Mājas lapa
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,"Jums ir jābūt pieteicies, lai piekļūtu šai lapai"
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,"Piezīme: vairākās sesijās tiks atļauts, ja mobilās ierīces"
DocType: DocType,Form Settings,Veidlapas iestatījumi
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Lejupielādējiet datus
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Pastāvīgi Pieteikt {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Lejupielādēt failu dublēšanu
DocType: Address,County,grāfiste
DocType: Workflow,If Checked workflow status will not override status in list view,Ja Pārbaudīts darbplūsmas statuss netiks ignorēt statusu saraksta skatā
apps/frappe/frappe/client.py,Invalid file path: {0},Nederīgs faila ceļš: {0}
DocType: Workflow State,eye-open,eye-open
DocType: Email Queue,Send After,Nosūti Pēc
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,"Lūdzu, izvēlieties failu vai url"
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} Tree
DocType: User,User Emails,Lietotāja e-pasta
DocType: User,Username,Lietotājvārds
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Importēt Zip
apps/frappe/frappe/model/base_document.py,Value too big,Vērtība ir pārāk liels
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Run Script tests
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,"Atlasiet Google kalendāru, ar kuru jāsinhronizē notikums."
DocType: Data Import,Total Rows,Kopējās rindas
DocType: Contact,Department,Nodaļa
DocType: DocField,Options,Opcijas
apps/frappe/frappe/client.py,Cannot edit standard fields,Nevar rediģēt standarta laukus
DocType: Print Format,Print Format Builder,Print Format Celtnieks
DocType: GCalendar Account,Calendar Name,Kalendāra nosaukums
DocType: Report,Report Manager,Ziņojums pārvaldnieks
DocType: Workflow,Document States,Dokumentu valstis
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,"Atvaino! Es nevarēju atrast to, ko jūs meklējat."
DocType: Data Migration Run,Logs,Logs
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,"Saglabājot filtrus, radās kļūda"
