apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,可以使用以下应用程序的新{}版本
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,请选择一个金额字段。
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,正在载入汇入档案...
DocType: Assignment Rule,Last User,最后用户
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}",一个新的任务，{0}，已分配给您{1}。 {2}
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,会话默认值已保存
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,重新载入档案
DocType: Email Queue,Email Queue records.,电子邮件队列记录。
DocType: Post,Post,发送
DocType: Address,Punjab,旁遮普
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,通过上传。csv文件重命名多个项目。
DocType: Workflow State,pause,暂停
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,你没有权限访问此页面。
DocType: About Us Settings,Website,网站
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,您需要登录才能访问该页面
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,注：在移动设备的情况下多个会话将被允许
DocType: DocType,Form Settings,表单设置
apps/frappe/frappe/templates/emails/download_data.html,Download Data,下载数据
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,永久提交{0} ？
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,下载文件备份
DocType: Address,County,县
DocType: Workflow,If Checked workflow status will not override status in list view,如果选中，工作流状态不会覆盖列表视图中的状态
apps/frappe/frappe/client.py,Invalid file path: {0},无效的文件路径：{0}
DocType: Workflow State,eye-open,眼闭
DocType: Email Queue,Send After,发送后
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,请选择一个文件或URL
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} 树
DocType: User,User Emails,用户电子邮件
DocType: User,Username,用户名
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,导入邮编
apps/frappe/frappe/model/base_document.py,Value too big,值过大
DocType: DocField,DocField,文档字段
DocType: GSuite Settings,Run Script Test,运行脚本测试
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,选择要同步哪个事件的Google日历。
DocType: Data Import,Total Rows,总行数
DocType: Contact,Department,部门
DocType: DocField,Options,选项
apps/frappe/frappe/client.py,Cannot edit standard fields,不能编辑标准字段
DocType: Print Format,Print Format Builder,打印格式生成器
DocType: GCalendar Account,Calendar Name,日历名称
DocType: Report,Report Manager,报告管理
DocType: Workflow,Document States,文档状态
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,抱歉，无法找你要的信息。
DocType: Data Migration Run,Logs,日志
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,保存过滤器时出错
DocType: Custom DocPerm,This role update User Permissions for a user,这个角色更新一个用户的用户权限
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},重命名{0}
DocType: Workflow State,zoom-out,缩小
DocType: Data Import Beta,Import Options,导入选项
apps/frappe/frappe/public/js/frappe/form/form.js,Cannot open {0} when its instance is open,无法打开{0} ，当它的实例已打开
apps/frappe/frappe/model/document.py,Table {0} cannot be empty,表{0}不能为空
DocType: SMS Parameter,Parameter,参数
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html,Images,图片
DocType: Activity Log,Reference Owner,参考者
DocType: Currency,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,最小的循环部分单元（硬币）。对于如1％用于美元，因此应输入为0.01
DocType: Social Login Key,GitHub,GitHub
apps/frappe/frappe/model/base_document.py,"{0}, Row {1}",{0}，列{1}
DocType: DocField,Markdown Editor,Markdown 编辑器
apps/frappe/frappe/model/document.py,Beginning with,以此开头
apps/frappe/frappe/core/doctype/data_export/exporter.py,Data Import Template,数据导入模板
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,An error occurred while setting Session Defaults,设置会话默认值时发生错误
apps/frappe/frappe/public/js/frappe/model/model.js,Parent,上级
apps/frappe/frappe/templates/emails/download_data.html,We have received a request from you to download your {0} data associated with: {1},我们已收到您的请求，要求您下载与{1}相关联的{0}数据
