Connector Type,커넥터 유형
Provider Name,공급자 이름
Name cannot contain special characters like {0},이름에 {0}과 같은 특수 문자를 사용할 수 없습니다.
Enable Gradients,그라디언트 사용
Default Sort Order,기본 정렬 순서
Showing only Numeric fields from Report,보고서의 숫자 필드 만 표시
folder-open,폴더 열기
Is Table,표
Unable to open attached file. Did you export it as CSV?,첨부 파일을 열 수 없습니다. CSV로 내보내기 했습니까?
No Copy,복사 안함
Default Value,기본값
Append To is mandatory for incoming mails,추가는 수신 메일에 필수입니다.
Data Migration Mapping Detail,데이터 마이그레이션 매핑 세부 정보
Unfollow,팔로우 해제
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",&quot;Raw Print&quot;를 통한 PDF 인쇄는 아직 지원되지 않습니다. 프린터 설정에서 프린터 매핑을 제거하고 다시 시도하십시오.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,진행 방법에 대한 안내는 등록 된 이메일 주소를 확인하십시오. 이 창을 닫지 마십시오. 다시 창을 닫아야합니다.
Insert Column Before {0},{0} 앞에 열 삽입
GCalendar Settings,GCalendar 설정
HTML for header section. Optional,헤더 섹션의 HTML. 선택 과목
_report,_보고서
Code,암호
Fraction Units,분수 단위
Export Customizations,사용자 지정 내보내기
Force,힘
User Email,사용자 이메일
 Advanced Settings,고급 설정
Redirect To,리디렉션 대상
Stopped,중지됨
Google API Credentials,Google API 자격증 명
Subject,제목
Revert,돌아가는 것
File backup is ready,파일 백업이 준비되었습니다.
Add custom javascript to forms.,양식에 맞춤 자바 스크립트를 추가하십시오.
Add custom forms.,사용자 지정 양식을 추가하십시오.
This report was generated on {0},이 보고서는 {0}에 생성되었습니다.
This document has been reverted,이 문서가 되돌려졌습니다.
Mapping Type,매핑 유형
Please select document type first.,먼저 문서 유형을 선택하십시오.
Make use of longer keyboard patterns,더 긴 키보드 패턴 사용
Are you sure you want to delete the attachment?,첨부 파일을 삭제 하시겠습니까?
ap-southeast-2,남동 - 2
Please verify your Email Address,이메일 주소를 확인하십시오.
About Us Settings,회사 소개 설정
Avoid sequences like abc or 6543 as they are easy to guess,추측하기 쉬운 abc 또는 6543과 같은 시퀀스는 피하십시오.
Insert Below,아래에 삽입
Error in Custom Script,사용자 정의 스크립트의 오류
Please specify which date field must be checked,선택해야하는 날짜 필드를 지정하십시오.
Feedback,피드백
"Invalid ""depends_on"" expression",잘못된 &quot;depends_on&quot;표현식
Session Expired,세션 만료 됨
Sent Read Receipt,보낸 영수증
Tools,도구들
Contacts,콘택트 렌즈
Document Share Report,문서 공유 보고서
Filter List,필터 목록
Notification Tones,알림 음
You have used up all of the space allotted to you. Please buy more space in your subscription.,당신은 당신에게 할당 된 모든 공간을 다 써 버렸습니다. 구독 정보에서 더 많은 공간을 구입하십시오.
"Expression, Optional","표현식, 선택 사항"
Mandatory Information missing:,필수 정보 누락 :
DocType is a Table / Form in the application.,DocType은 응용 프로그램의 표 / 양식입니다.
Primary,행성
Setup Reports to be emailed at regular intervals,일정한 간격으로 이메일로 보낼 보고서 설정
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",이메일 대신 이름을 적어 넣은 것 같습니다. \ 우리가 돌아갈 수 있도록 올바른 이메일 주소를 입력하십시오.
Website Settings,웹 사이트 설정
Background Email Queue,백그라운드 전자 메일 대기열
{0} and {1},{0} 및 {1}
There was an error saving filters,필터를 저장하는 중 오류가 발생했습니다.
Enter your password,비밀번호를 입력하십시오.
Success! You are good to go ?,성공! 너는 좋은데 ?
Cannot delete Home and Attachments folders,홈 및 첨부 파일 폴더를 삭제할 수 없습니다.
Settings for Contact Us Page,연락처 페이지 설정
Social Login Provider,소셜 로그인 공급자
Previous Hash,이전 해시
Value Changed,값 변경됨
Report Type,보고서 유형
Default Address Template cannot be deleted,기본 주소 템플릿을 삭제할 수 없습니다.
Please set script URL on Gsuite Settings,Gsuite 설정에서 스크립트 URL을 설정하십시오.
Invalid limit {0},{0} 한도가 잘못되었습니다.
No of emails remaining to be synced,동기화 할 이메일이 없습니다.
User ID,사용자 ID
Website,웹 사이트
sa-east-1,사동 -1
Notification Recipient,알림 수신자
Module,기준 치수
Address Type,주소 유형
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.",이 옵션을 선택하면 유효한 데이터가있는 행을 가져오고 나중에 가져올 수 있도록 잘못된 행이 새 파일로 덤프됩니다.
Fieldname {0} appears multiple times in rows {1},필드 이름 {0}이 (가) 행 {1}에 여러 번 나타납니다.
Error Log,오류 기록
Half,절반
Home Page,홈 페이지
Current Mapping Start,현재 매핑 시작
eye-close,눈 감아주기
Assignment closed by {0},할당이 {0} (으)로 마감되었습니다.
Next Date's day and Repeat on Day of Month must be equal,다음 날짜의 날짜와 월의 반복은 동일해야합니다.
Comments cannot have links or email addresses,댓글에는 링크 또는 이메일 주소가있을 수 없습니다.
Reference Communication,참조 커뮤니케이션
Mandatory:,필수 :
Setting up your system,시스템 설정하기
Payment Failed,결제 실패
Read,독서
SSL/TLS Mode,SSL / TLS 모드
Print Format Help,인쇄 형식 도움말
Between,중에서
Thank you for your interest in subscribing to our updates,업데이트 구독에 관심을 가져 주셔서 감사합니다.
Full Name,성명
Allow GCalendar Access,GCalendar 액세스 허용
Reset Permissions for {0}?,{0}의 사용 권한 재설정?
Start entering data below this line,이 줄 아래에 데이터 입력 시작
UNSEEN,보이지 않는 것
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,모든 대문자는 모두 소문자처럼 쉽게 추측 할 수 있습니다.
Cannot use sub-query in order by,하위 쿼리를 순서대로 사용할 수 없습니다.
Transaction Log Report,트랜잭션 로그 보고서
Is Global,글로벌인가?
Options Help,옵션 도움말
Is Sent,보냈다
Transaction Log,트랜잭션 로그
eu-west-3,eu-west-3
Complete Setup,설정 완료
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret이 재설정되었습니다. 다음 로그인시 재 등록이 필요합니다.
In List View,목록보기에서
Feedback Trigger,피드백 트리거
Confirm,확인
Valid email and name required,유효한 이메일과 이름이 필요합니다.
List of patches executed,실행 된 패치 목록
