 by Role ,von Rolle
 can not be marked as a ledger as it has existing child,"nicht als Ledger gekennzeichnet, da es bestehenden Kind"
 is not set,nicht gesetzt
"""Company History""",Firmengeschichte
"""Team Members"" or ""Management""","Teammitglieder oder ""Management"""
0,0
"000 is black, fff is white","000 ist schwarz, weiß fff"
1,1
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2,2
2 days ago,Vor 2 Tagen
"<a onclick=""msgprint('<ol>\
<li><b>field:[fieldname]</b> - By Field\
<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\
<li><b>Prompt</b> - Prompt user for a name\
<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\
</ol>')"">Naming Options</a>",
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b> Abbrechen </ b> können Sie ändern eingereichten Unterlagen durch Vernichtung von ihnen und zur Änderung ihnen.
A new popup will open that will ask you to select further conditions.,"Ein neues Pop-up öffnet das wird Sie bitten, weitere Bedingungen zu wählen."
A user can have multiple values for a property.,Ein Benutzer kann mehrere Werte für eine Eigenschaft.
About,Über
About ERPNext,Über ERPNext
About Us Settings,Über uns Settings
About Us Team Member,Über uns Team Member
Account Id,Konto-ID
Action,Aktion
Actions,Aktionen
Add,Hinzufügen
Add A New Rule,Fügen Sie eine neue Regel
Add A Property,Fügen Sie eine Eigenschaft
Add Attachments,Anhänge hinzufügen
Add Bookmark,Lesezeichen hinzufügen
Add CSS,Fügen Sie CSS
Add Column,Spalte hinzufügen
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,In Google Analytics ID: zB. UA-89XXX57-1. Bitte suchen Sie Hilfe zu Google Analytics für weitere Informationen.
Add Message,Nachricht hinzufügen
Add New Permission Rule,Add New Permission Rule
Add Reply,Fügen Sie Antworten
Add Serial No,In Seriennummer
Add Total Row,In insgesamt Row
Add a banner to the site. (small banners are usually good),Hinzufügen einen Banner auf der Website. (Kleine Banner sind in der Regel gut)
Add attachment,Anhang hinzufügen
Add code as &lt;script&gt;,Fügen Sie Code wie <script>
Add new row,In neue Zeile
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","Fügen Sie den Namen <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> zB &quot;Offene Sans&quot;"
Add to To Do,In den To Do
Additional Info,Zusätzliche Informationen
Address,Adresse
Address and other legal information you may want to put in the footer.,Adresse und weitere rechtliche Informationen möchten Sie vielleicht in der Fußzeile setzen.
Address to be displayed on the Contact Page,Adresse auf der Kontakt Seite angezeigt werden
Adds a custom field to a DocType,Fügt ein benutzerdefiniertes Feld zu einem DocType
Adds a custom script (client or server) to a DocType,Fügt ein benutzerdefiniertes Skript (Client oder Server) zu einem DocType
Advanced Scripting,Advanced Scripting
Advanced Settings,Erweiterte Einstellungen
All Day,All Day
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Alle möglichen Workflow-Status und Rollen des Workflows. <br> DocStatus Optionen: 0 wird ""Gespeichert"" wird ein ""Eingereicht"" und 2 ""Cancelled"""
Allow Attach,Lassen Befestigen
Allow Import,Erlauben Sie importieren
Allow Import via Data Import Tool,Erlauben Import via Datenimport-Werkzeug
Allow Rename,Lassen Sie Umbenennen
Allow on Submit,Lassen Sie auf Absenden
Allow user to login only after this hour (0-24),"Lassen Sie Benutzer nur anmelden, nach dieser Stunde (0-24)"
Allow user to login only before this hour (0-24),"Lassen Sie Benutzer nur anmelden, bevor dieser Stunde (0-24)"
Allowed,Erlaubt
Already Registered,Bereits angemeldete
Amend,Ändern
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Ein Symbol-Datei mit. Ico. Sollte 16 x 16 px sein. Erzeugt mit ein Favicon-Generator. [<a Href=""http://favicon-generator.org/"" target=""_blank""> favicon-generator.org </ a>]"
Are you sure you want to delete the attachment?,"Sind Sie sicher, dass Sie den Anhang löschen?"
Arial,Arial
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User","Als Best Practice, nicht die gleiche Menge von Berechtigungen Vorschrift auf unterschiedliche Rollen stattdessen mehrere Rollen für den Benutzer"
Ascending,Aufsteigend
Assigned By,Zugewiesen von
Assigned To,zugewiesen an
Attach as web link,Bringen Sie als Web-Link
Attached To DocType,Hinzugefügt zu DOCTYPE
Attached To Name,An den Dateinamen
Attachments,Zubehör
Attributions,Zuschreibungen
