 by Role ,โดยบทบาท
 can not be marked as a ledger as it has existing child,ไม่สามารถทำเครื่องหมายเป็นบัญ​​ชีแยกประเภทตามที่มีเด็กที่มีอยู่
 cannot be deleted.,ไม่สามารถลบได้
 is not set,ไม่ได้ตั้งค่า
"""Company History""",&quot;ประวัติ บริษัท &quot;
"""Team Members"" or ""Management""",&quot;สมาชิกทีม&quot; หรือ &quot;จัดการ&quot;
0,0
"000 is black, fff is white",000 เป็นสีดำเป็นสีขาว fff
1,1
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2,2
2 days ago,2 วันที่ผ่านมา
"<a onclick=""msgprint('<ol>\
<li><b>field:[fieldname]</b> - By Field\
<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\
<li><b>Prompt</b> - Prompt user for a name\
<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\
</ol>')"">Naming Options</a>",
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>ช่วยให้คุณสามารถยกเลิกการเปลี่ยนแปลงเอกสารที่ยื่นโดยการยกเลิกพวกเขาและพวกเขาแก้</b>
A new popup will open that will ask you to select further conditions.,ป๊อปอัพใหม่จะเปิดที่จะขอให้คุณเลือกเงื่อนไขเพิ่มเติม
A user can have multiple values for a property.,ผู้ใช้สามารถมีค่าหลายค่าสำหรับสถานที่ให้บริการ
About,เกี่ยวกับ
About Us Settings,เกี่ยวกับการตั้งค่าเรา
About Us Team Member,เกี่ยวกับสมาชิกในทีมเรา
Account Id,หมายเลขบัญชีที่
Action,การกระทำ
Actions,การปฏิบัติ
Add,เพิ่ม
Add A New Rule,เพิ่มกฎใหม่
Add A Property,เพิ่มสถานที่ให้บริการ
Add Attachments,เพิ่มสิ่งที่แนบ
Add Bookmark,เพิ่มบุ๊คมาร์ค
Add CSS,เพิ่ม CSS
Add Column,เพิ่มคอลัมน์
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,เพิ่ม Google Analytics ID: เช่น UA-89XXX57-1 กรุณาค้นหาความช่วยเหลือใน Google Analytics สำหรับข้อมูลเพิ่มเติม
Add Message,เพิ่มข้อความ
Add New Permission Rule,เพิ่มกฎการอนุญาตใหม่
Add Reply,เพิ่มตอบ
Add Total Row,เพิ่มแถวผลรวม
Add a banner to the site. (small banners are usually good),เพิ่มแบนเนอร์ไปยังเว็บไซต์ (ป้ายขนาดเล็กมักจะดี)
Add attachment,เพิ่มสิ่งที่แนบมา
Add code as &lt;script&gt;,เพิ่มรหัสเป็น &lt;script&gt;
Add new row,เพิ่มแถวใหม่
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","เพิ่มชื่อของ <a href=""http://google.com/webfonts"" target=""_blank"">Google Font เว็บ</a> เช่น &quot;Sans เปิด&quot;"
Add to To Do,เพิ่มสิ่งที่ต้องทำ
Add to To Do List of,เพิ่มไป To Do List ของ
Additional Info,ข้อมูลเพิ่มเติม
Address,ที่อยู่
Address and other legal information you may want to put in the footer.,ที่อยู่และข้อมูลทางกฎหมายอื่น ๆ ที่คุณอาจต้องการที่จะนำในส่วนท้าย
Address to be displayed on the Contact Page,ที่อยู่ที่จะปรากฏบนหน้าติดต่อ
Adds a custom field to a DocType,เพิ่มเขตข้อมูลที่กำหนดเองเพื่อ DocType
Adds a custom script (client or server) to a DocType,เพิ่มสคริปต์ที่กำหนดเอง (ไคลเอ็นต์หรือเซิร์ฟเวอร์) เพื่อ DocType
Advanced Scripting,การเขียนสคริปต์ขั้นสูง
Advanced Settings,ตั้งค่าขั้นสูง
All Day,วันทั้งหมด
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","ทุกประเทศที่เป็นไปได้เวิร์กโฟลว์และบทบาทของเวิร์กโฟลว์ <br> Docstatus ตัวเลือก: 0 ถูก &quot;บันทึก&quot;, 1 คือ &quot;Submitted&quot; และ 2 คือ &quot;ยกเลิก&quot;"
Allow Attach,อนุญาตให้แนบ
Allow Import,อนุญาตให้นำเข้า
