 by Role ,por função
 can not be marked as a ledger as it has existing child,"não pode ser marcado como um livro, pois tem criança existente"
 cannot be deleted.,não pode ser excluído.
 is not set,não está definido
"""Company History""",&quot;Histórico da Empresa&quot;
"""Team Members"" or ""Management""",&quot;Membros da Equipe&quot; ou &quot;Gerenciamento&quot;
0,0
"000 is black, fff is white","000 é preto, é branco fff"
1,1
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2,2
2 days ago,Há 2 dias
"<a onclick=""msgprint('<ol>\
<li><b>field:[fieldname]</b> - By Field\
<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\
<li><b>Prompt</b> - Prompt user for a name\
<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\
</ol>')"">Naming Options</a>",
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>Cancelar</b> permite alterar documentos enviados cancelando ou corrigindo-os.
A new popup will open that will ask you to select further conditions.,Um novo pop-up será aberto que vai pedir para você selecionar outras condições.
A user can have multiple values for a property.,Um usuário pode ter vários valores para uma propriedade.
About,Sobre
About Us Settings,Configurações do Quem Somos
About Us Team Member,Sobre Membro da Equipe
Account Id,Id da Conta
Action,Ação
Actions,ações
Add,Adicionar
Add A New Rule,Adicionar uma Nova Regra
Add A Property,Adicione uma Propriedade
Add Attachments,Adicionar Anexos
Add Bookmark,Adicionar marcadores
Add CSS,Adicionar CSS
Add Column,Adicionar Coluna
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,"Adicionar ID do Google Analytics: ex. UA-89XXX57-1. Por favor, procure ajuda no Google Analytics para obter mais informações."
Add Message,Adicionar Mensagem
Add New Permission Rule,Adicionar Nova Regra de Permissão
Add Reply,Adicione Resposta
Add Total Row,Adicionar Linha de Total
Add a banner to the site. (small banners are usually good),Adicionar um banner para o site. (Pequenos banners são geralmente boas)
Add attachment,Adicionar anexo
Add code as &lt;script&gt;,Adicionar código como &lt;script&gt;
Add new row,Adicionar nova linha
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","Adicione o nome do <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> por exemplo, &quot;Sans Abertas&quot;"
Add to To Do,Adicionar à Lista de Tarefas
Add to To Do List of,Adicionar à Lista de Tarefas de
Additional Info,Informações Adicionais
Address,Endereço
Address and other legal information you may want to put in the footer.,Endereço e outras informações legais que você possa querer colocar no rodapé.
Address to be displayed on the Contact Page,O endereço a ser exibida na Página de Contato
Adds a custom field to a DocType,Adiciona um campo personalizado em um DocType
Adds a custom script (client or server) to a DocType,Adiciona um script personalizado (cliente ou servidor) em um DocType
Advanced Scripting,Scripts Avançados
Advanced Settings,Configurações Avançadas
