 by Role ,按角色
 is not set,沒有設置
"""Company History""",“公司歷史”
"""Team Members"" or ""Management""",“團隊成員”或“管理”
'In List View' not allowed for type {0} in row {1},“在列表視圖中”不允許類型{0}行{1}
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草案; 1 - 呈交; 2 - 取消
0 is highest,0是最高的
"000 is black, fff is white",000是黑色的，FFF是白色的
2 days ago,3天前
"<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[?]</a>","<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[？]</a>"
"<a onclick=""msgprint('<ol>\
<li><b>field:[fieldname]</b> - By Field\
<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\
<li><b>Prompt</b> - Prompt user for a name\
<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\
</ol>')"">Naming Options</a>","<一的onclick =“msgprint（'<OL> \
 <LI> <B>場：[字段名] </ B> - 按字段\
 <LI> <B> naming_series：</ B > - 通過命名系列（場稱為naming_series必須存在\
 <LI> <B>提示</ B> - 提示用戶輸入一個名字\
 <LI> <B> [系列] </ ，B> - 系列由前綴（由點號分隔），例如PRE＃＃＃＃＃\
 </ OL>'）“>命名選項</ a>"
<b>new</b> <i>type of document</i>,<B>新</ B> <I>類型的文件</ I>
"<i>document type...</i>, e.g. <b>customer</b>",<I>文檔類型... </ I>，如<B>客戶</ B>
<i>e.g. <strong>(55 + 434) / 4</strong> or <strong>=Math.sin(Math.PI/2)</strong>...</i>,<I>如<STRONG>（55 + 434）/ 4 </ strong>或<STRONG> =數學。黃大仙（公式PI / 2）</ STRONG> ... </ I>
<i>module name...</i>,<I>模塊名稱... </ I>
<i>text</i> <b>in</b> <i>document type</i>,<I>文字</ I>（B）在</ B> <I>文檔類型</ I>
A user can be permitted to multiple records of the same DocType.,用戶可以被允許同一的DocType的多個記錄。
About,關於
About Us Settings,關於我們設置
About Us Team Member,關於我們團隊成員
Action,行動
Actions,操作
"Actions for workflow (e.g. Approve, Cancel).",對工作流操作（例如審批，取消） 。
Add,加
Add A New Rule,添加新的規則
Add A User Permission,添加一個用戶權限
Add Attachments,添加附件
Add Bookmark,添加書籤
Add CSS,添加CSS
Add Column,添加列
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,添加谷歌Analytics（分析）ID：例如。 UA-89XXX57-1。請搜索在谷歌Analytics（分析）幫助以獲取更多信息。
Add Message,發表留言
Add New Permission Rule,添加新的權限規則
Add Reply,添加回复
Add Total Row,添加總計行
Add a New Role,添加新角色
Add a banner to the site. (small banners are usually good),添加一個橫幅掛在了網站上。 （小橫幅通常是很好的）
Add all roles,添加的所有角色
Add attachment,添加附件
Add code as &lt;script&gt;,添加代碼為&lt;SCRIPT&gt;
Add custom javascript to forms.,添加自定義的Java Script才能形成。
Add fields to forms.,將字段添加到窗體。
Add multiple rows,添加多行
Add new row,添加新行
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","新增的名稱<a href=""http://google.com/webfonts"" target=""_blank"">谷歌網頁字體</a>如“打開三世”"
Add to To Do,添加到待辦事項
Add to To Do List Of,添加到待辦事項列表
Added {0} ({1}),添加{0}（{1}）
Adding System Manager to this User as there must be atleast one System Manager,添加系統管理員給此用戶的，必須有ATLEAST 1系統管理
Additional Info,附加信息
Additional Permissions,額外的權限
Address,地址
Address Line 1,地址行1
Address Line 2,地址行2
Address Title,地址名稱
Address and other legal information you may want to put in the footer.,地址和其他法律信息，你可能要放在頁腳。
Admin,管理員
All Applications,所有應用
All Day,全日
All customizations will be removed. Please confirm.,所有自定義都將被刪除。請證實。
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",所有可能的工作流程狀態和工作流的角色。 <br> Docstatus選項：0是“保存”，1“已提交”和2“取消”
Allow Attach,允許連接
Allow Import,允許進口
Allow Import via Data Import Tool,允許通過數據導入工具導入
Allow Rename,允許重新命名
Allow on Submit,允許在提交
Allow user to login only after this hour (0-24),允許用戶僅這一小時後登陸（0-24）
Allow user to login only before this hour (0-24),允許用戶僅在此之前登錄小時（0-24）
Allowed,寵物
"Allowing DocType, DocType. Be careful!",允許的DOCTYPE，的DocType 。要小心！
Already Registered,已註冊
Already in user's To Do list,已經在用戶的To Do列表
Alternative download link,另類下載鏈接
"Alternatively, you can also specify 'auto_email_id' in site_config.json",另外，您還可以在site_config.json指定' auto_email_id “
Always use above Login Id as sender,請務必使用上述登錄ID作為發件人
Amend,修改
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","一個圖標文件，擴展名為。ico。應該是16×16像素。使用的favicon生成器生成。 [ <a href=""http://favicon-generator.org/"" target=""_blank"">網站圖標- generator.org</a> ]"
"Another {0} with name {1} exists, select another name",另一{0}名{1}存在，選擇另一個名字
Any existing permission will be deleted / overwritten.,任何現有的權限將被刪除/覆蓋。
Anyone Can Read,任何人都可以閱讀
Anyone Can Write,任何人都可以寫
"Apart from Role based Permission Rules, you can apply User Permissions based on DocTypes.",除了基於角色的權限規則，您可以根據文檔類型應用的用戶權限。
"Apart from System Manager, roles with 'Set User Permissions' right can set permissions for other users for that Document Type.",除了系統管理器，用'設置用戶權限“正確的角色可以設置權限的其他用戶的文件類型。
App Name,應用程序名稱
App not found,應用程序未找到
Application Installer,應用程序安裝器
Applications,應用
Apply Style,應用樣式
Apply User Permissions,申請用戶權限
Are you sure you want to delete the attachment?,您確定要刪除的附件？
Arial,宋體
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",作為最佳實踐，不分配相同的一組權限的規則不同角色。相反，設置多個角色，以相同的用戶。
Ascending,升序
Assign To,分配給
Assigned By,通過分配
Assigned To,分配給
Assigned To Fullname,分配給全名
Assigned To/Owner,分配給/所有者
Assignment Added,分配上架
Assignment Status Changed,任務狀態改變
Assignments,作業
Attach,附
Attach Document Print,附加文檔打印
Attach as web link,附加為網站鏈接
Attached To DocType,附著的DocType
Attached To Name,單身者姓名
Attachments,附件
Auto Email Id,自動電子郵件Id
Auto Name,自動名稱
Auto generated,自動生成
Avatar,阿凡達
Back to Login,返回登錄
Background Color,背景顏色
Background Image,背景圖片
Background Style,背景樣式
Banner,旗幟
Banner HTML,橫幅的HTML
