 by Role , by Role 
 is not set, is not set
"""Company History""","""Lịch sử công ty"""
"""Team Members"" or ""Management""","""Các thành viên nhóm"" hay ""quản lý"""
'In List View' not allowed for type {0} in row {1},"""Trong danh sách Xem 'không được phép cho loại {0} trong hàng {1}"
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Dự thảo; 1 - Đăng; 2 - Hủy
0 is highest,0 là cao nhất
"000 is black, fff is white","000 là màu đen, fff là màu trắng"
2 days ago,2 ngày trước
"<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[?]</a>","<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank""> [?]</ A>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<A onclick = ""msgprint ('<ol> \ <li> <b> lĩnh vực: [fieldname] </ b> - Theo Dòng \ <li> <b> naming_series: </ b > - By Đặt tên Series (lĩnh vực được gọi naming_series phải có mặt \ <li> <b> Prompt </ b> - sử dụng Prompt cho một tên \ <li> <b> [loạt] </ . b> - Series của tiền tố (cách nhau bằng một dấu chấm), ví dụ PRE # # # # # \ </ ol> ') ""> đặt tên Tùy chọn </ a>"
<b>new</b> <i>type of document</i>,<b> mới </ b> <i> loại tài liệu </ i>
"<i>document type...</i>, e.g. <b>customer</b>","loại tài liệu <i> ... </ i>, ví dụ như <b> khách hàng </ b>"
<i>e.g. <strong>(55 + 434) / 4</strong> or <strong>=Math.sin(Math.PI/2)</strong>...</i>,<i> ví dụ <strong> (55 + 434) / 4 </ strong> hoặc = <strong> Math.sin (Math.PI / 2) </ strong> ... </ i>
<i>module name...</i>,<i> tên mô-đun ... </ i>
<i>text</i> <b>in</b> <i>document type</i>,văn bản <i> </ i> <b> trong </ b> <i> loại tài liệu </ i>
A user can be permitted to multiple records of the same DocType.,Một người sử dụng có thể được phép nhiều hồ sơ của DocType cùng.
About,Về
About Us Settings,Giới thiệu thiết lập
About Us Team Member,Giới thiệu đội viên
Action,Hoạt động
Actions,Tác vụ
"Actions for workflow (e.g. Approve, Cancel).","Hành động cho công việc (ví dụ: Phê duyệt, Hủy bỏ)."
Add,Thêm
Add A New Rule,Thêm một Rule mới
Add A User Permission,Thêm một phép tài
Add Attachments,Thêm đính kèm
Add Bookmark,Add Bookmark
Add CSS,Thêm CSS
Add Column,Thêm cột
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Thêm Google Analytics ID: ví dụ. UA-89XXX57-1. Hãy tìm kiếm sự giúp đỡ về Google Analytics để biết thêm thông tin.
Add Message,Thêm tin nhắn
Add New Permission Rule,Add New phép tắc
Add Reply,Thêm lời
Add Total Row,Tổng số Row thêm
Add a New Role,Thêm một vai trò mới
Add a banner to the site. (small banners are usually good),Thêm một biểu ngữ cho trang web. (Biểu ngữ nhỏ thường tốt)
Add all roles,Thêm tất cả các vai trò
Add attachment,Thêm tập tin đính kèm
Add code as &lt;script&gt;,Thêm mã như <script>
Add custom javascript to forms.,Thêm tùy chỉnh với các hình thức javascript.
Add fields to forms.,Thêm các lĩnh vực với các hình thức.
Add multiple rows,Thêm nhiều hàng
Add new row,Thêm hàng mới
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","Thêm tên của <a href=""http://google.com/webfonts"" target=""_blank""> Google Font Web </ a> ví dụ ""Mở Sans """
Add to To Do,Thêm vào để làm
Add to To Do List Of,Thêm vào để làm Danh sách các
Added {0} ({1}),Thêm {0} ({1})
Adding System Manager to this User as there must be atleast one System Manager,Thêm hệ thống quản lý để tài này phải có ít nhất một hệ thống quản lý
Additional Info,Thông tin bổ sung
Additional Permissions,Quyền thêm
Address,Địa chỉ
Address Line 1,Địa chỉ Line 1
Address Line 2,Địa chỉ Dòng 2
Address Title,Địa chỉ Tiêu đề
Address and other legal information you may want to put in the footer.,Địa chỉ và thông tin pháp lý khác mà bạn có thể muốn đặt ở chân.
Admin,Quản trị
All Applications,Tất cả các ứng dụng
All Day,Tất cả các ngày
All customizations will be removed. Please confirm.,Tất cả các tùy chỉnh sẽ được gỡ bỏ. Vui lòng xác nhận.
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Quy trình làm việc tất cả các nước và vai trò của công việc có thể. <br> Docstatus Tùy chọn: 0 là ""lưu"", 1 là ""Gửi"" và 2 là ""hủy bỏ"""
Allow Attach,Cho phép Đính kèm
Allow Import,Cho phép nhập khẩu
Allow Import via Data Import Tool,Cho phép nhập dữ liệu thông qua công cụ nhập khẩu
Allow Rename,Cho phép đổi tên
Allow on Submit,Cho phép vào Submit
Allow user to login only after this hour (0-24),Cho phép người dùng đăng nhập chỉ sau giờ này (0-24)
Allow user to login only before this hour (0-24),Cho phép người dùng đăng nhập chỉ trước khi giờ này (0-24)
Allowed,Cho phép
"Allowing DocType, DocType. Be careful!","Cho phép DocType, DocType. Chị cẩn thận đó!"
Already Registered,Đã đăng ký
Already in user's To Do list,Đã được sử dụng để làm của danh sách
Alternative download link,Thay thế liên kết tải về
"Alternatively, you can also specify 'auto_email_id' in site_config.json","Ngoài ra, bạn cũng có thể chỉ định 'auto_email_id' trong site_config.json"
Always use above Login Id as sender,Luôn luôn sử dụng trên Id Đăng nhập như người gửi
Amend,Sửa đổi
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Một biểu tượng tập tin với phần mở rộng ico.. Nên 16 x 16 px. Tạo ra bằng cách sử dụng một máy phát điện favicon. [<a Href=""http://favicon-generator.org/"" target=""_blank""> favicon-generator.org </ a>]"
"Another {0} with name {1} exists, select another name","Khác {0} với tên {1} tồn tại, chọn tên khác"
Any existing permission will be deleted / overwritten.,Bất kỳ sự cho phép hiện tại sẽ bị xóa / ghi đè.
Anyone Can Read,Bất cứ ai cũng có thể đọc
Anyone Can Write,Bất cứ ai cũng có thể viết
"Apart from Role based Permission Rules, you can apply User Permissions based on DocTypes.","Ngoài vai trò dựa trên quy phép, bạn có thể áp dụng tài Quyền dựa trên doctypes."
"Apart from System Manager, roles with 'Set User Permissions' right can set permissions for other users for that Document Type.","Ngoài hệ thống quản lý, vai trò với quyền 'Thiết lập tài Quyền' có thể thiết lập quyền truy cập cho người dùng khác cho rằng loại tài liệu."
App Name,Tên ứng dụng
App not found,Ứng dụng không tìm thấy
Application Installer,Ứng dụng cài đặt
Applications,Ứng dụng
Apply Style,Áp dụng phong cách
Apply User Permissions,Áp dụng tài Quyền
Are you sure you want to delete the attachment?,Bạn có chắc bạn muốn xóa các tập tin đính kèm?
Arial,Arial
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Như một thực hành tốt nhất, không chỉ định cùng một bộ quy tắc để cho phép Vai trò khác nhau. Thay vào đó, thiết lập nhiều vai trò cùng một người dùng."
Ascending,Tăng dần
Assign To,Để gán
Assigned By,Giao By
Assigned To,Để giao
Assigned To Fullname,Để giao Họ tên
Assigned To/Owner,Để giao / chủ sở hữu
Assignment Added,Phân công nhập
Assignment Status Changed,Tình trạng chuyển nhượng thay đổi
Assignments,Bài tập
Attach,Đính kèm
Attach Document Print,Đính kèm tài liệu In
Attach as web link,Đính kèm là liên kết web
Attached To DocType,Để gắn DocType
Attached To Name,Để gắn Tên
Attachments,File đính kèm
Auto Email Id,Tự động Email Id
Auto Name,Tên tự động
Auto generated,Tự động tạo ra
Avatar,Avatar
Back to Login,Sao để đăng nhập
Background Color,Màu nền
Background Image,Hình nền
Background Style,Kiểu nền
Banner,Bảng quảng cáo
Banner HTML,Biểu ngữ HTML
Banner Image,Hình ảnh biểu ngữ
Banner is above the Top Menu Bar.,Banner trên Menu Top Bar.
Begin this page with a slideshow of images,Bắt đầu trang này với một trình chiếu hình ảnh
Beginning with,Bắt đầu với
Belongs to,Thuộc về
Bio,Sinh học
